OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
,,,"High Road Broxbourne, Broxbourne, EN10 7DD",,,,6.093,owned by a public authority,,permissioned,,,,,,,,,,
,,,"Park Lane Paradise, Cheshunt, EN7 6TD",,,,2.238,not owned by a public authority,,permissioned,,,,,,,,,,
,,,"Rosedale Way, Cheshunt, Waltham Cross, Hertfordshire, EN7 6HR",,,,0.5224,owned by a public authority,,permissioned,,,,,,,,,,
,,,"6 Windmill Lane, Cheshunt, EN8 9AA",,,,0.158,owned by a public authority,,permissioned,,,,,,,,,,
,,,"Delamare Road, Cheshunt",,,,12.46,not owned by a public authority,,not permissioned,,,,,,,,,,
,,,"Bishops College, Churchgate, Cheshunt, EN8 9XG",,,,1.911,owned by a public authority,,not permissioned,,,,,,,,,,
,,,"Theobalds Lane, Cheshunt, Hertfordshire, EN8 8RU",,,,5.304,owned by a public authority,,not permissioned,,,,,,,,,,
,,,"577-579 Goffs Lane, Goffs Oak, EN7 5HJ",,,,1.883,not owned by a public authority,,not permissioned,,,,,,,,,,
,,,"104 Cuffley Hill, Goffs Oak, EN7 5EY",,,,1.208,not owned by a public authority,,not permissioned,,,,,,,,,,
,,,"Rye Road, Hoddesdon, EN11",,,,0.5787,not owned by a public authority,,not permissioned,,,,,,,,,,
,,,"Lord Street, Hoddesdon, EN11 8NL",,,,0.3019,not owned by a public authority,,not permissioned,,,,,,,,,,
,,,"Essex Road, Hoddesdon, EN11 0BX",,,,0.908,not owned by a public authority,,permissioned,,,,,,,,,,
,,,"Amwell Street, Hoddesdon, EN11 8TS",,,,0.3858,not owned by a public authority,,not permissioned,,,,,,,,,,
,,,"Police Station, High Street, Hoddesdon, EN11 8BJ",,,,0.321,owned by a public authority,,not permissioned,,,,,,,,,,
,,,"16 Westfield Road, Hoddesdon, EN11 8QX",,,,1.272,,,not permissioned,,,,,,,,,,
,,,Waltham Cross,,,,2.641,not owned by a public authority,,not permissioned,,,,,,,,,,
,,,"High Street, Waltham Cross, EN8 7BG",,,,0.3539,owned by a public authority,,not permissioned,,,,,,,,,,
,,,"High Road, Turnford, EN10  6DB",,,,0.504,not owned by a public authority,,permissioned,,,,,,,,,,
,,,"74 High Road, Wormley, EN10 6DU",,,,0.076,not owned by a public authority,,permissioned,,,,,,,,,,
,,,"56-58 Turners Hill, Cheshunt, EN8 9BD",,,,0.061,not owned by a public authority,,permissioned,,,,,,,,,,
,,,"110 Turners Hill, Cheshunt, EN8 9BN",,,,0.077,not owned by a public authority,,permissioned,,,,,,,,,,
,,,"210A Windmill Lane, Cheshunt, EN8 9AF",,,,0.022,not owned by a public authority,,permissioned,,,,,,,,,,
,,,"134 Crossbrook Street, Cheshunt, EN8 8JH",,,,0.042,not owned by a public authority,,permissioned,,,,,,,,,,
,,,"90 Ware Road, Hoddesdon, EN11 9ET",,,,0.148,not owned by a public authority,,permissioned,,,,,,,,,,
,,,"Rear of 40 Park Lane, Waltham Cross, EN8 8BE",,,,0.26,not owned by a public authority,,permissioned,,,,,,,,,,
,,,"75-81 High Street, Waltham Cross, EN8 7AF",,,,0.076,not owned by a public authority,,permissioned,,,,,,,,,,
,,,"Fitzpatrick Contractors Ltd, Woollens Brook, Hertford Road, Hoddesdon, EN11 9BX",,,,1.532,not owned by a public authority,,permissioned,,,,,,,,,,
,,,"St Laurence Drive, Wormley, EN10 6LH",,,,0.384,,,permissioned,,,,,,,,,,
,,,"Trust Road, Waltham Cross, EN8 7HF",,,,0.095,not owned by a public authority,,permissioned,,,,,,,,,,
,,,"Cameron Drive, EN8 8BN",,,,0.06,not owned by a public authority,,permissioned,,,,,,,,,,
,,,"Cameron Drive, EN8 8BN",,,,0.03,not owned by a public authority,,permissioned,,,,,,,,,,
