OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/wyre,Wyre Council,BR001,"Normoss Farm, Normoss Road, Poulton",,,,0.61,Not owned by a public authority,Permissioned,Full planning permisison,24/04/2017,https://publicaccess.wyre.gov.uk/online-applications/,Yes,,,,,14/12/2017,,
http://opendatacommunities.org/id/district-council/wyre,Wyre Council,BR002,"South of Kepple Lane, Garstang",,,,2.87,Not owned by a public authority,Pending decision,Reserved mattres approval,,https://publicaccess.wyre.gov.uk/online-applications/,Yes,,,,,14/12/2017,,
http://opendatacommunities.org/id/district-council/wyre,Wyre Council,BR003,"52-60 Poulton Road, Fleetwood",,,,0.05,Not owned by a public authority,Permissioned,Full planning permisison,20/04/2015,https://publicaccess.wyre.gov.uk/online-applications/,Yes,,,,,14/12/2017,,
http://opendatacommunities.org/id/district-council/wyre,Wyre Council,BR004,"Land north and east of Bourne Road, Thornton.",,,,5.16,Not owned by a public authority,Permissioned,Full planning permisison,10/10/2012,https://publicaccess.wyre.gov.uk/online-applications/,Yes,,,,,14/12/2017,,
http://opendatacommunities.org/id/district-council/wyre,Wyre Council,BR005,"Royal Oak, 64 Breck Road, Poulton",,,,0.12,Not owned by a public authority,Permissioned,Full planning permisison,08/06/2017,https://publicaccess.wyre.gov.uk/online-applications/,Yes,,,,,14/12/2017,,
http://opendatacommunities.org/id/district-council/wyre,Wyre Council,BR006,"Preesall Service Station, Sandy Lane, Preesall",,,,0.12,Not owned by a public authority,Permissioned,Reserved mattres approval,22/01/2016,https://publicaccess.wyre.gov.uk/online-applications/,Yes,,,,,14/12/2017,,
http://opendatacommunities.org/id/district-council/wyre,Wyre Council,BR007,"Brimelows Garage, 54 Hardhorn Road, Poulton",,,,0.14,Not owned by a public authority,Permissioned,Reserved mattres approval,14/01/2016,https://publicaccess.wyre.gov.uk/online-applications/,Yes,,,,,14/12/2017,,
http://opendatacommunities.org/id/district-council/wyre,Wyre Council,BR008,"Fairfield Nurseries, Puddle House Lane, Poulton",,,,1.18,Not owned by a public authority,Permissioned,Reserved mattres approval,27/09/2017,https://publicaccess.wyre.gov.uk/online-applications/,Yes,,,,,14/12/2017,,
http://opendatacommunities.org/id/district-council/wyre,Wyre Council,BR009,"West of Nightingale Way, Catterall",,,,0.6,Not owned by a public authority,Permissioned,Outline planning permission,11/06/2014,https://publicaccess.wyre.gov.uk/online-applications/,Yes,,,,,14/12/2017,,
http://opendatacommunities.org/id/district-council/wyre,Wyre Council,BR010,"Lincluden, Wallace Lane, Forton",,,,0.43,Not owned by a public authority,Permissioned,Full planning permisison,09/08/2015 & 28/01/2016,https://publicaccess.wyre.gov.uk/online-applications/,Yes,,,,,14/12/2017,,
http://opendatacommunities.org/id/district-council/wyre,Wyre Council,BR011,"North of Garstang Road, Pilling",,,,1.69,Not owned by a public authority,Permissioned,Outline planning permission,01/05/2015,https://publicaccess.wyre.gov.uk/online-applications/,Yes,,,,,14/12/2017,,
http://opendatacommunities.org/id/district-council/wyre,Wyre Council,BR012,"Throstles Nest, Whinney Brow Lane, Forton",,,,0.27,Not owned by a public authority,Permissioned,Full planning permisison,11/08/2015,https://publicaccess.wyre.gov.uk/online-applications/,Yes,,,,,14/12/2017,,
http://opendatacommunities.org/id/district-council/wyre,Wyre Council,BR013,"Prospect Farm, Skippool Road, Thornton",,,,0.61,Not owned by a public authority,Permissioned,Full planning permisison,25/05/2016,https://publicaccess.wyre.gov.uk/online-applications/,Yes,,,,,14/12/2017,,
http://opendatacommunities.org/id/district-council/wyre,Wyre Council,BR014,"Rear The Steamer, Victoria Street, Fleetwood",,,,0.05,Not owned by a public authority,Permissioned,Full planning permisison,25/06/2016,https://publicaccess.wyre.gov.uk/online-applications/,Yes,,,,,14/12/2017,,
http://opendatacommunities.org/id/district-council/wyre,Wyre Council,BR015,"5 Lockwood Avenue, Poulton",,,,0.07,Not owned by a public authority,Permissioned,Full planning permisison,16/12/2016,https://publicaccess.wyre.gov.uk/online-applications/,Yes,,,,,14/12/2017,,
http://opendatacommunities.org/id/district-council/wyre,Wyre Council,BR016,"Barneys Bingo Club, Poulton Road, Fleetwood",,,,0.14,Not owned by a public authority,Permissioned,Full planning permisison,03/01/2017,https://publicaccess.wyre.gov.uk/online-applications/,Yes,,,,,14/12/2017,,
http://opendatacommunities.org/id/district-council/wyre,Wyre Council,BR017,"Garstang Business & Community Centre, 96 High Street, Garstang",,,,0.07,Owned by a public authority,Pending decision,Full planning permisison,,https://publicaccess.wyre.gov.uk/online-applications/,,,,,,14/12/2017,,
http://opendatacommunities.org/id/district-council/wyre,Wyre Council,BR018,"Fleetwood Pier, The Esplanade, Fleetwood",,,,0.22,Not owned by a public authority,Pending decision,Outline planning permission,,https://publicaccess.wyre.gov.uk/online-applications/,,,,,,14/12/2017,,
http://opendatacommunities.org/id/district-council/wyre,Wyre Council,BR019,"Carleton Court, 155-161 Lord Street, Fleetwood",,,,0.07,Not owned by a public authority,Permissioned,Full planning permisison,27/07/2017,https://publicaccess.wyre.gov.uk/online-applications/,Yes,,,,,14/12/2017,,
http://opendatacommunities.org/id/district-council/wyre,Wyre Council,BR020,"North of Norcross Lane, Thornton Cleveleys",,,,13.61,Not owned by a public authority,Permissioned,Outline planning permission,08/12/2015,https://publicaccess.wyre.gov.uk/online-applications/,Yes,220,338,,,15/12/2017,,
http://opendatacommunities.org/id/district-council/wyre,Wyre Council,BR021,"South of Fleetwood Dock, Fleetwood",,,,10.32,Not owned by a public authority,,,,https://publicaccess.wyre.gov.uk/online-applications/,,120,120,,,15/12/2017,,
http://opendatacommunities.org/id/district-council/wyre,Wyre Council,BR022,"Garstang Country Hotel & Golf Club, Garstang Road, Bowgreave",,,,0.29,Not owned by a public authority,Pending decision,Outline planning permission,,https://publicaccess.wyre.gov.uk/online-applications/,,9,9,,,15/12/2017,,
http://opendatacommunities.org/id/district-council/wyre,Wyre Council,BR023,Island Farm Cartmell Lane Nateby Preston Lancashire PR3 0LU,,,,0.34,Not owned by a public authority,Pending decision,Outline planning permission,,https://publicaccess.wyre.gov.uk/online-applications/,,,,,,15/12/2017,,
http://opendatacommunities.org/id/district-council/wyre,Wyre Council,BR024,Lakeland View Laidleys Walk Fleetwood Lancashire FY7 7JL,,,,0.41,Owned by a public authority,Pending decision,Full planning permisison,,https://publicaccess.wyre.gov.uk/online-applications/,,,,,,15/12/2017,,
