OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/doc/district-council/dover,Dover District Council,BR60-16,Barwick Road Dover,629773,142032,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR60-16.pdf,2.62,Not in public ownership,Permissioned,Outline planning permission,12/12/2014,https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_219038,Yes,220,220,,Forms part of a wider allocated site (LA8 - land in Coombe Valley),20/06/2016,20/06/2016,
http://opendatacommunities.org/doc/district-council/dover,Dover District Council,BR61-16,"Coombe Valley Road, Dover",630616,142230,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR61-16.pdf,0.74,Not in public ownership,Permissioned,Full planning permission,04/10/2013,https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_221339,Yes,24,24,,Not Started - forms part of a wider allocated site (LA8 - land in Coombe Valley),20/06/2016,20/06/2016,
http://opendatacommunities.org/doc/district-council/dover,Dover District Council,BR65-16,"Upper Street, Kingsdown",637804,148385,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR65-16.pdf,0.29,Not in public ownership,Permissioned,Full planning permission,28/01/2015,https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_223269,Yes,4,4,,Not Started - allocated in the Land Allocations Local Plan (LA38) on the 28/01/2015,20/06/2016,20/06/2016,
http://opendatacommunities.org/doc/district-council/dover,Dover District Council,BR68-16,Land north of River Stour & including part of Sandwich Industrial Estate,633537,158335,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR68-16.pdf,12.2,Not in public ownership,Permissioned,Full planning permission,10/07/2003,https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_148512,Yes,303,303,,Under Construction,20/06/2016,20/06/2016,
http://opendatacommunities.org/doc/district-council/dover,Dover District Council,BR71-16,"Old Folkestone Road, Aycliffe",630601,140047,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR71-16.pdf,0.15,Not in public ownership,Permissioned,,21/06/2007,https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_205044,Yes,18,18,,,20/06/2016,20/06/2016,
http://opendatacommunities.org/doc/district-council/dover,Dover District Council,BR72-16,"1-7 Cowgate Hill, Dover",631820,141345,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR72-16.pdf,0.03,Not in public ownership,Permissioned,Full planning permission,03/04/2013,https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_220098,Yes,8,8,,Not Started,20/06/2016,20/06/2016,
http://opendatacommunities.org/doc/district-council/dover,Dover District Council,BR75-16,"Dorman Avenue South, Aylesham",623738,152117,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR75-16.pdf,0.27,Not in public ownership,Permissioned,Full planning permission,20/03/2014,https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_218354,Yes,6,6,,Not Started,20/06/2016,20/06/2016,
http://opendatacommunities.org/doc/district-council/dover,Dover District Council,BR77-16,"Hammill, Woodnesborough",629330,155743,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR77-16.pdf,0.38,Not in public ownership,Permissioned,Hybrid planning permission,17/06/2016,https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_219646,Yes,25,25,,Under Construction,20/06/2016,20/06/2016,
http://opendatacommunities.org/doc/district-council/dover,Dover District Council,BR78-16,"149-156 Snargate Street, Dover",631804,141113,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR78-16.pdf,0.11,Not in public ownership,Permissioned,Reserved matters,01/08/2014,https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_223099,Yes,9,9,,Not Started,20/06/2016,20/06/2016,
http://opendatacommunities.org/doc/district-council/dover,Dover District Council,BR84-16,"Strand Street, Sandwich",633058,158357,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR84-16.pdf,0.05,Not in public ownership,Permissioned,Renewal - full planning permission,27/03/2015,https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_222309,Yes,6,6,,Not Started,20/06/2016,20/06/2016,
http://opendatacommunities.org/doc/district-council/dover,Dover District Council,BR87-16,"Discovery Park, Ramsgate Road, Sandwich",633350,159568,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR87-16.pdf,72.3,Not in public ownership,Permissioned,Outline planning permission,02/09/2015,https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_223268,Yes,500,500,,Not Started - the housing on this site forms part of a wider mixed use application on a predominatly brownfield site,20/06/2016,20/06/2016,
http://opendatacommunities.org/doc/district-council/dover,Dover District Council,BR89-16,"Former council yard, Molland Lea, Ash",628624,158825,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR89-16.pdf,0.16,Public ownership,Not Permissioned,,,,Yes,5,5,,,20/06/2016,20/06/2016,
http://opendatacommunities.org/doc/district-council/dover,Dover District Council,BR129-16,"The Old Sorting Office, Charlton Green, Dover, CT16 1AP",631489,142172,http://dover.gov.uk/Planning/Planning-Policy/Brownfield-Land-Register/Site-Plans/BR129-16.pdf,0.69,Not in public ownership,Permissioned,Outline planning permission,07/10/2016,https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_229059,Yes,65,65,,Not Started,20/06/2016,20/06/2016,
