OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/mansfield,Mansfield District Council,1,"""Former Mansfield Brewery (part B), Great Central Road, Mansfield""",53.14,-1.19,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9535&p=0,0.76,Not owned by a public authority,,Permissioned,Permission in principle,12/12/2017,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9535&p=0,20,30,,2017/0631/PIP,26/09/2017,13/12/2017,
http://opendatacommunities.org/id/district-council/mansfield,Mansfield District Council,2,"""Former Mansfield General Hospital, West Hill Drive, Mansfield""",53.15,-1.2,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9547&p=0,1.11,Owned by a public authority,,Permissioned,Full planning permission,10/03/2016,,,,Yes,,26/09/2017,26/09/2017,
http://opendatacommunities.org/id/district-council/mansfield,Mansfield District Council,33,"""Wood Lane (Miners Welfare), Wood Lane, Church Warsop""",53.21,-1.17,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9536&p=0,1.05,Not owned by a public authority,,Permissioned,Permission in principle,12/12/2017,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9536&p=0,25,35,,2017/0633/PIP,26/09/2017,13/12/2017,
http://opendatacommunities.org/id/district-council/mansfield,Mansfield District Council,54,"""Former Evans Halshaw site, Nottingham Road, Mansfield""",53.12,-1.19,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9547&p=0,1.92,Not owned by a public authority,,Permissioned,Full planning permission,30/06/2017,,,,Yes,,26/09/2017,26/09/2017,
http://opendatacommunities.org/id/district-council/mansfield,Mansfield District Council,68,"""Kirkland Avenue Industrial Park, Kirkland Avenue, Mansfield""",53.14,-1.21,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9537&p=0,0.7,Not owned by a public authority,,Permissioned,Permission in principle,12/12/2017,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9537&p=0,15,25,,2017/0636/PIP,26/09/2017,13/12/2017,
http://opendatacommunities.org/id/district-council/mansfield,Mansfield District Council,75,"""Former Mansfield Hosiery Mill Car Park & Electricity Board workshops & social club, Botany Avenue, Mansfield""",53.14,-1.21,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9538&p=0,0.97,Not owned by a public authority,,Permissioned,Permission in principle,12/12/2017,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9538&p=0,25,35,,2017/0637/PIP,26/09/2017,13/12/2017,
http://opendatacommunities.org/id/district-council/mansfield,Mansfield District Council,86,"""Land at the corner of Quarry Lane, Mansfield., Quarry Lane, Mansfield""",53.13,-1.21,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9547&p=0,0.25,Not owned by a public authority,,Permissioned,Full planning permission,21/10/2015,,,,Yes,,26/09/2017,26/09/2017,
http://opendatacommunities.org/id/district-council/mansfield,Mansfield District Council,92,"""Pleasley Hill Regeneration Area, Chesterfield Road North, Pleasley""",53.17,-1.24,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9547&p=0,3.81,Not owned by a public authority,,Permissioned,Full planning permission,19/12/2014,,,,Yes,,26/09/2017,26/09/2017,
http://opendatacommunities.org/id/district-council/mansfield,Mansfield District Council,95,"""Vauxhall Garage, Sutton Road, Mansfield""",53.14,-1.22,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9547&p=0,0.87,Not owned by a public authority,,Permissioned,Outline planning permission,06/09/2016,,,,,,26/09/2017,26/09/2017,
http://opendatacommunities.org/id/district-council/mansfield,Mansfield District Council,96,"""Land at Hermitage Lane, Mansfield""",53.14,-1.22,http://www.mansfield.gov.uk/CHttpHandler.ashx?id=9547&p=0,0.9,Not owned by a public authority,,Permissioned,Full planning permission,18/05/2015,,,,Yes,,26/09/2017,26/09/2017,
