OrganisationURI,SiteReference,GeoX,GeoY,Hectares,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/eden,17/EAM/0001,352068.0,528849.0,1.91,,,
http://opendatacommunities.org/id/district-council/eden,17/EAM/0002,352356.0,528540.0,0.35,,,
http://opendatacommunities.org/id/district-council/eden,17/LSA/0003,356639.0,535406.0,1.83,,,
http://opendatacommunities.org/id/district-council/eden,17/PEN/0004,351427.0,529940.0,0.09,,,
http://opendatacommunities.org/id/district-council/eden,17/PEN/0005,352094.0,529835.0,0.05,,,
http://opendatacommunities.org/id/district-council/eden,17/PEN/0006,351549.0,529982.0,0.02,,,
http://opendatacommunities.org/id/district-council/eden,17/PEN/0007,351462.0,530408.0,0.01,,,
http://opendatacommunities.org/id/district-council/eden,17/PEN/0008,352318.0,530610.0,0.2,,,
http://opendatacommunities.org/id/district-council/eden,17/GSA/0009,355104.0,536902.0,0.4,,,
http://opendatacommunities.org/id/district-council/eden,17/BOL/0010,363815.0,523179.0,0.16,,,
http://opendatacommunities.org/id/district-council/eden,17/PEN/0011,351522.0,530385.0,0.12,,,
http://opendatacommunities.org/id/district-council/eden,17/PEN/0012,351842.0,530343.0,0.14,,,
http://opendatacommunities.org/id/district-council/eden,17/PEN/0013,351873.0,529895.0,0.1,,,
http://opendatacommunities.org/id/district-council/eden,17/GAS/0014,367896.0,512981.0,0.01,,,
http://opendatacommunities.org/id/district-council/eden,17/PEN/0015,351681.0,530250.0,0.008594173029404,,,
http://opendatacommunities.org/id/district-council/eden,17/KST/0016,377553.0,508502.0,0.0033,,,
http://opendatacommunities.org/id/district-council/eden,17/KST/0017,377512.0,508461.0,0.12,,,
http://opendatacommunities.org/id/district-council/eden,17/KST/0018,377478.0,508675.0,0.044,,,
http://opendatacommunities.org/id/district-council/eden,17/GAS/0019,368606.0,515140.0,0.001,,,
http://opendatacommunities.org/id/district-council/eden,17/ALS/0020,371812.0,546614.0,0.03,,,
http://opendatacommunities.org/id/district-council/eden,17/ORT/0021,362244.0,508096.0,0.025,,,
http://opendatacommunities.org/id/district-council/eden,17/ORT/0022,362442.0,508339.0,0.007,,,
http://opendatacommunities.org/id/district-council/eden,17/SHA/0023,356291.0,515123.0,0.01,,,
http://opendatacommunities.org/id/district-council/eden,17/AIN/0024,352931.0,546333.0,0.02,,,
http://opendatacommunities.org/id/district-council/eden,17/PEN/0025,351369.0,530158.0,0.072,,,
http://opendatacommunities.org/id/district-council/eden,17/APP/0026,368306.0,520257.0,0.0179,,,
http://opendatacommunities.org/id/district-council/eden,17/PEN/0027,351733.0,530317.0,,,,
http://opendatacommunities.org/id/district-council/eden,17/MEL/0028,361695.0,537253.0,0.06,,,
http://opendatacommunities.org/id/district-council/eden,17/BOL/0029,363887.0,523574.0,0.1076,,,
http://opendatacommunities.org/id/district-council/eden,17/PEN/0030,351520.0,530293.0,0.01725,,,
http://opendatacommunities.org/id/district-council/eden,17/BOL/0031,363887.0,523574.0,0.2947,,,
http://opendatacommunities.org/id/district-council/eden,17/PEN/0032,351453.0,530076.0,0.0084,,,
http://opendatacommunities.org/id/district-council/eden,17/GRE/0033,345013.0,529776.0,1.5,,,
http://opendatacommunities.org/id/district-council/eden,17/STM/0034,383550.0,514896.0,0.029,,,
http://opendatacommunities.org/id/district-council/eden,17/ALS/0035,371912.0,546424.0,0.01,,,
http://opendatacommunities.org/id/district-council/eden,17/BLW/0036,345384.0,532840.0,0.1,,,
http://opendatacommunities.org/id/district-council/eden,17/PLU/0037,350193.0,534956.0,0.1532,,,
http://opendatacommunities.org/id/district-council/eden,17/PEN/0038,351090.0,530885.0,0.01,,,
http://opendatacommunities.org/id/district-council/eden,17/KST/0039,377104.0,507740.0,0.04,,,
http://opendatacommunities.org/id/district-council/eden,17/PEN/0040,352216.0,529686.0,0.03,,,
http://opendatacommunities.org/id/district-council/eden,17/PEN/0041,351687.0,530025.0,0.02,,,
http://opendatacommunities.org/id/district-council/eden,17/STA/0042,348570.0,528071.0,0.12,,,
http://opendatacommunities.org/id/district-council/eden,17/BOL/0043,363808.0,523539.0,8.5,,,
http://opendatacommunities.org/id/district-council/eden,17/HHE/0044,347959.0,543753.0,1.05,,,
http://opendatacommunities.org/id/district-council/eden,17/SOU/0045,344065.0,54810.0,0.45,,,
http://opendatacommunities.org/id/district-council/eden,17/PEN/0046,351865.820770484,529897.937900706,0.358307437307518,,,
http://opendatacommunities.org/id/district-council/eden,17/NEN/0047,378027.289814837,543726.076607332,0.586,,,
http://opendatacommunities.org/id/district-council/eden,17/PEN/0048,351221.475107977,529764.05841045,0.579,,,
http://opendatacommunities.org/id/district-council/eden,17/ALS/0049,371726.137114939,546302.93324516,0.351,,,
http://opendatacommunities.org/id/district-council/eden,17/PEN/0050,351061.27949938,530303.411060796,0.331,,,
http://opendatacommunities.org/id/district-council/eden,17/PEN/0051,351070.015,529967.568,0.634,,,
http://opendatacommunities.org/id/district-council/eden,17/SHA/0052,356460.426257505,514347.900468756,0.631,,,
http://opendatacommunities.org/id/district-council/eden,17/APP/0053,368519.10446148,520896.273315686,0.504,,,
http://opendatacommunities.org/id/district-council/eden,17/APP/0054,368265.0,521164.0,0.66,,,
http://opendatacommunities.org/id/district-council/eden,17/NOL/0057,370448.0,505230.0,0.03,,,
http://opendatacommunities.org/id/district-council/eden,17/LAZ/0060,547000.0,396000.0,0.12,,,
http://opendatacommunities.org/id/district-council/eden,17/CUL/0073,360752.0,529656.0,0.76,,,
http://opendatacommunities.org/id/district-council/eden,17/STA/0083,348528.0,528416.0,0.17,,,
http://opendatacommunities.org/doc/district-council/eden,17/KIN/0091,362019.0,521059.0,0.84,,,
http://opendatacommunities.org/id/district-council/eden,17/HBH/0099,355927.191707097,542296.542161398,0.2,,,
http://opendatacommunities.org/id/district-council/eden,17/NEWS/0123,346536.0,530263.0,3.11,,,
http://opendatacommunities.org/id/district-council/eden,17/PEN/0127,351844.023659255,530194.845117265,0.148941093530992,,,
http://opendatacommunities.org/id/district-council/eden,17/PEN/0128,351211.738784148,530031.706544937,0.418342417463536,,,
http://eforms.eden.gov.uk/fastweb/detail.asp?AltRef=07/0343&ApplicationNumber=07%2F0343&AddressPrefix=&Postcode=&Submit=Search,17/PEN/0129,351628.046657267,529961.032037225,0.217245094348018,,,
http://opendatacommunities.org/id/district-council/eden,17/PEN/0130,351846.956856395,530145.547499951,0.483728768291775,,,
http://opendatacommunities.org/id/district-council/eden,17/PEN/0131,351577.908641337,530269.993194965,0.186258719060446,,,
http://opendatacommunities.org/id/district-council/eden,17/PEN/0132,352069.36522837,529408.063581808,0.575385980717256,,,
http://opendatacommunities.org/id/district-council/eden,17/PEN/0133,351121.150944849,530927.500089558,0.320740225149957,,,
http://opendatacommunities.org/id/district-council/eden,17/PEN/0134,351695.289884453,529973.06616286,0.014353444999965,,,
http://opendatacommunities.org/id/district-council/eden,17/PEN/0135,351759.672531626,529769.300637223,0.157978892327183,,,
http://opendatacommunities.org/id/district-council/eden,17/PEN/0136,351086.129461001,530745.813646741,0.04592488376043,,,
http://opendatacommunities.org/id/district-council/eden,17/PEN/0137,351856.078738452,529829.32104828,0.241137236912572,,,
http://opendatacommunities.org/id/district-council/eden,17/GLA/0138,357639.0,538854.0,0.1,,,
http://opendatacommunities.org/id/district-council/eden,17/GLA/0139,357769.0,538888.0,0.8,,,
http://opendatacommunities.org/id/district-council/eden,17/CLK/0141,346687.0,530905.0,0.454181949560387,,,
http://opendatacommunities.org/id/district-council/eden,17/CRA//0142,365544.61,522623.7,0.03960272509222,,,
http://opendatacommunities.org/id/district-council/eden,17/CDY/0146,355498.0,526254.0,1.6,,,
