OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,S/YEOV/1300,"Former Box Factory, South Street, Yeovil",-2.928603,50.940345,https://www.southsomerset.gov.uk/media/902236/yeov1300.pdf,0.5,owned by public authority,,not permissioned,,,,20,20,,,2017-11-16,2017-11-16,
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,S/YEOV/B001,"3, Newtown Road, Yeovil",-2.624683,50.942075,https://www.southsomerset.gov.uk/media/902239/yeovb001.pdf,0.21,not owned by a public authority,,permissioned,full planning permission,2017-03-31,,85,85,yes,,2017-11-16,2017-11-16,
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,S/YEOV/1302,"Former Cattle Market, Yeovil",-2.629254,50.943255,https://www.southsomerset.gov.uk/media/902247/yeov1302.pdf,2.1,not owned by a public authority,,not permissioned,,,,100,120,,,2017-11-16,2017-11-16,
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,S/YEOV/1303,"Petters Way Car Park, Yeovil",-2.634503,50.939836,https://www.southsomerset.gov.uk/media/902244/yeov1303.pdf,0.6,owned by a public authority,,not permissioned,,,,9,9,,,2017-11-16,2017-11-16,
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,S/YEOV/B002,"108/110 West Coker Road, Yeovil",-2.655481,50.928642,https://www.southsomerset.gov.uk/media/902250/yeovb002.pdf,0.7,not owned by a public authority,,permissioned,full planning permission,2017-08-11,,9,9,yes,,2017-11-16,2017-11-16,
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,S/BRYM/0004,"Land off George Smith Way, Yeovil",-2.686249,50.952142,https://www.southsomerset.gov.uk/media/902254/brym0004.pdf,8.9,mixed ownership,,not permissioned,,,,65,75,yes,,2017-11-16,2017-11-16,
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,W/CHAR/0019,"Land off Boden Street and Silver Street, Chard",-2.962448,50.871883,https://www.southsomerset.gov.uk/media/902262/char0019-b002.pdf,1.4,mixed ownership,,not permissioned,,,,8,20,yes,,2017-11-16,2017-11-16,
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,W/CHAR/B001,"Slades Garage, Touchstone Lane, Chard",-2.970902,50.8772,https://www.southsomerset.gov.uk/media/902265/charb001.pdf,0.14,not owned by a public authority,,permissioned,full planning permission,2016-11-23,,6,6,yes,,2017-11-16,2017-11-16,
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,W/CHAR/B002,"Former Tyre Depot, Silver Street, Chard",-2.961064,50.87158,https://www.southsomerset.gov.uk/media/902262/char0019-b002.pdf,0.14,not owned by a public authority,,permissioned,full planning permission,2008-10-10,,22,22,yes,,2017-11-16,2017-11-16,
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,W/CHAR/B003,"Church Hall, East Street, Chard",-2.958842,50.874107,https://www.southsomerset.gov.uk/media/902268/charb003.pdf,0.09,not owned by a public authority,,permissioned,full planning permission,2016-07-22,,10,10,yes,,2017-11-16,2017-11-16,
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,W/CREW/B001,"Viney Bridge Mills, South Street, Crewkerne",-2.78512,50.879444,https://www.southsomerset.gov.uk/media/902272/crewb001.pdf,1.02,not owned by a public authority,,permissioned,full planning permission,2014-12-24,,58,58,yes,,2017-11-16,2017-11-16,
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,W/CREW/B002,"The Shirt Factory, Abbey Street, Crewkerne",-2.797379,50.885584,https://www.southsomerset.gov.uk/media/902275/crewb002.pdf,0.02,not owned by a public authority,,permissioned,full planning permission,2016-09-22,,6,6,yes,,2017-11-16,2017-11-16,
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,W/CREW/B003,"Builder's Yard, Dairy Court, Crewkerne",-2.796177,50.880169,https://www.southsomerset.gov.uk/media/902278/crewb003.pdf,0.07,not owned by a public authority,,permissioned,full planning permission,2010-10-26,,5,5,yes,,2017-11-16,2017-11-16,
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,W/ILMI/B001,"Police Station, Butts, Ilminster",-2.908621,50.927791,https://www.southsomerset.gov.uk/media/902282/ilmib001-b003.pdf,0.11,unknown ownership,,permissioned,full planning permission,2017-03-31,,7,7,yes,,2017-11-16,2017-11-16,
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,W/ILMI/0016,"Former Powrmatic, Winterhay Lane, Ilminster",-2.924526,50.930499,https://www.southsomerset.gov.uk/media/902285/ilmi0016.pdf,1.74,not owned by a public authority,,permissioned,outline planning permission,2015-01-15,,72,72,yes,,2017-11-16,2017-11-16,
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,W/ILMI/B002,"Former Cheese Factory Site, Station Road, Ilminster",-2.931986,50.932103,https://www.southsomerset.gov.uk/media/902288/ilmib002.pdf,3.3,not owned by a public authority,,not permissioned,,,,50,70,yes,,2017-11-16,2017-11-16,
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,W/ILMI/B003,"Gooch & Housego, Cornhill, Ilminster",-2.90989,50.927224,https://www.southsomerset.gov.uk/media/902282/ilmib001-b003.pdf,0.14,not owned by a public authority,,permissioned,full planning permission,2015-04-23,,14,14,yes,,2017-11-16,2017-11-16,
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,E/WINC/B001,"Former Works, Southgate Road, Wincanton",-2.413138,51.051491,https://www.southsomerset.gov.uk/media/902293/wincb001.pdf,0.03,not owned by a public authority,,permissioned,full planning permission,2007-01-30,,19,19,yes,,2017-11-16,2017-11-16,
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,E/WINC/0007,"The Tythings, Southgate Road, Wincanton",-2.41359,51.052577,https://www.southsomerset.gov.uk/media/902296/winc0007-b001.pdf,2.73,not owned by a public authority,,not permissioned,,,,49,55,yes,,2017-11-16,2017-11-16,
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,E/ANSF/0010,"Land at Ansford Farm, Cumnock Road, Castle Cary",-2.511486,51.093419,https://www.southsomerset.gov.uk/media/902300/ansf0010.pdf,0.15,not owned by a public authority,,not permissioned,,,,5,5,yes,,2017-11-16,2017-11-16,
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,E/CACA/1101,"BMI Site, Cumnock Road, Castle Cary",-2.511463,51.091342,https://www.southsomerset.gov.uk/media/902307/caca1101.pdf,1.3,not owned by a public authority,,not permissioned,,,,29,32,,,2017-11-16,2017-11-16,
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,E/CACA/B001,"Constitutional Club, Station Road, Castle Cary",-2.519581,51.088222,https://www.southsomerset.gov.uk/media/902312/cacab001.pdf,0.2,not owned by a public authority,,permissioned,outline planning permission,2016-06-20,,8,8,yes,,2017-11-16,2017-11-16,
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,N/SOME/B001,"Former Garage Site, West Street, Somerton",-2.734638,51.053832,https://www.southsomerset.gov.uk/media/902316/someb001.pdf,0.16,not owned by a public authority,,permissioned,full planning permission,2017-01-26,,6,6,yes,,2017-11-16,2017-11-16,
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,N/SOME/0800,"Land at Etsome Terrace, Somerton",-2.737039,51.055876,https://www.southsomerset.gov.uk/media/902319/some0800.pdf,0.4,not owned by a public authority,,permissioned,full planning permission,2016-12-01,,10,10,yes,,2017-11-16,2017-11-16,
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,N/MART/B001,"Burfield Gloves, Manor Road, Martock",-2.765496,50.969823,https://www.southsomerset.gov.uk/media/902323/martb001.pdf,0.2,not owned by a public authority,,not permissioned,,,,4,4,yes,,2017-11-16,2017-11-16,
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,N/MART/0005,"Rear of the Rose & Crown, Hurst, Bower Hinton",-2.77351,50.963548,https://www.southsomerset.gov.uk/media/902326/mart0005.pdf,0.25,not owned by a public authority,,not permissioned,,,,5,5,yes,,2017-11-16,2017-11-16,
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,N/SOPE/0013,"Parkway Farm, West Street, South Pertherton",-2.816902,50.944997,https://www.southsomerset.gov.uk/media/902330/sope0013.pdf,4.2,not owned by a public authority,,not permissioned,,,,20,40,yes,,2017-11-16,2017-11-16,
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,E/ABTE/0001/10,"Temple Lane, Templecombe",-2.410629,51.001979,https://www.southsomerset.gov.uk/media/902335/abte000110.pdf,5.69,not owned by a public authority,,not permissioned,,,,40,51,yes,,2017-11-16,2017-11-16,
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,E/ABTE/0013,"Manor Farm, Coombe Hill, Templecombe",-2.422516,50.998888,https://www.southsomerset.gov.uk/media/902338/abte0013.pdf,4.34,not owned by a public authority,,not permissioned,,,,70,78,yes,,2017-11-16,2017-11-16,
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,E/LIMI/B001,"The Old Forge, Limington",-2.656998,50.999737,https://www.southsomerset.gov.uk/media/902342/limib001.pdf,0.31,not owned by a public authority,,permissioned,outline planning permission,2017-02-23,,5,5,yes,,2017-11-16,2017-11-16,
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,E/NOCA/B001,"Harvester Works, Mayfield Close, Galhampton",-2.521272,51.067109,https://www.southsomerset.gov.uk/media/902350/nocab001.pdf,0.5,not owned by a public authority,,permissioned,full planning permission,2013-10-09,,14,14,yes,,2017-11-16,2017-11-16,
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,E/SPAR/0005,"Haynes Publishing, High Street, Sparkford",-2.565174,51.034426,https://www.southsomerset.gov.uk/media/902346/spar0005.pdf,2.3,not owned by a public authority,,permissioned,outline planning permission,2017-03-29,,37,48,yes,,2017-11-16,2017-11-16,
http://opendatacommunities.org/id/district-council/south-somerset,South Somerset,N/HUEP/B001,"Great Orchard Stores. Brookland Road, Huish Episcopi",-2.81733,51.042347,https://www.southsomerset.gov.uk/media/902361/huepb001.pdf,0.08,not owned by a public authority,,permissioned,full planning permission,2006-07-28,,8,8,yes,,2017-11-16,2017-11-16,
