OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/gosport,Gosport Borough Council,BR3,"""Lapthorn Close, Gosport""",50.831896,-1.179621,http://maps.gosport.gov.uk/eggp/?webroot=default&dept=Planning&scriptname=Brownfield%20Land%20Register&cpx=457870.129&cpy=103917.385&scale=1000&redraw=cp,0.2,owned by a public authority,not permissioned,,,,,,12,,,2017-12-15,,
http://opendatacommunities.org/id/district-council/gosport,Gosport Borough Council,BR2,"""Stoners Close, Gosport""",50.826655,-1.180108,http://maps.gosport.gov.uk/eggp/?webroot=default&dept=Planning&scriptname=Brownfield%20Land%20Register&cpx=457842.366&cpy=103334.271&scale=1000&redraw=cp,0.2,owned by a public authority,not permissioned,,,,,,17,,,2017-12-15,,
http://opendatacommunities.org/id/district-council/gosport,Gosport Borough Council,BR8,"""Wheeler Close, Gosport""",50.808123,-1.15264,http://maps.gosport.gov.uk/eggp/?webroot=default&dept=Planning&scriptname=Brownfield%20Land%20Register&cpx=460574.763&cpy=100896.358&scale=1000&redraw=cp,0.19,owned by a public authority,not permissioned,,,,,,14,,,2017-12-15,,
http://opendatacommunities.org/id/district-council/gosport,Gosport Borough Council,BR9,"""124 - 128 Brockhurst Road, Brockhurst Road, Gosport""",50.80813,-1.152689,http://maps.gosport.gov.uk/eggp/?webroot=default&dept=Planning&scriptname=Brownfield%20Land%20Register&cpx=459797.129&cpy=101296.018&scale=1000&redraw=cp,0.11,not owned by a public authority,permissioned,,,,,,7,,,2017-12-15,,
http://opendatacommunities.org/id/district-council/gosport,Gosport Borough Council,BR11,"""LOTS Sailing Club, Marine Parade East, Lee on the Solent""",50.79745,-1.19827,http://maps.gosport.gov.uk/eggp/?webroot=default&dept=Planning&scriptname=Brownfield%20Land%20Register&cpx=456598.446&cpy=100072.65&scale=1000&redraw=cp,0.16,not owned by a public authority,permissioned,,,,,,14,,,2017-12-15,,
http://opendatacommunities.org/id/district-council/gosport,Gosport Borough Council,BR14,"""Priddy's Hard Heritage Area, Heritage Way, Gosport""",50.806915,-1.125814,http://maps.gosport.gov.uk/eggp/?webroot=default&dept=Planning&scriptname=Brownfield%20Land%20Register&cpx=461692.282&cpy=101183.07&scale=2000&redraw=cp,2.74,not owned by a public authority,permissioned,,,,,,100,,,2017-12-15,,
http://opendatacommunities.org/id/district-council/gosport,Gosport Borough Council,BR16,"""Crewsaver, Harbour Road, Gosport""",50.797362,-1.122158,http://maps.gosport.gov.uk/eggp/?webroot=default&dept=Planning&scriptname=Brownfield%20Land%20Register&cpx=461962.462&cpy=100123.841&scale=500&redraw=cp,0.16,not owned by a public authority,permissioned,,,,,,31,,,2017-12-15,,
http://opendatacommunities.org/id/district-council/gosport,Gosport Borough Council,BR18,"""Rowner Renewal, Grange Road, Gosport""",50.801247,-1.16821,http://maps.gosport.gov.uk/eggp/?webroot=default&dept=Planning&scriptname=Brownfield%20Land%20Register&cpx=458712.146&cpy=100518.226&scale=5000&redraw=cp,14.6,not owned by a public authority,permissioned,,,,,,700 (200 net),,,2017-12-15,,
http://opendatacommunities.org/id/district-council/gosport,Gosport Borough Council,BR21,"""Haslar Hospital, Haslar Road, Gosport""",50.784472,-1.125489,http://maps.gosport.gov.uk/eggp/?webroot=default&dept=Planning&scriptname=Brownfield%20Land%20Register&cpx=461744.694&cpy=98687.688&scale=5000&redraw=cp,23.03,not owned by a public authority,permissioned,,,,,,286,,,2017-12-15,,
http://opendatacommunities.org/id/district-council/gosport,Gosport Borough Council,BR22,"""Daedalus, Broom Way, Lee on the Solent""",50.809424,-1.206682,http://maps.gosport.gov.uk/eggp/?webroot=default&dept=Planning&scriptname=Brownfield%20Land%20Register&cpx=455991.325&cpy=101397.793&scale=8000&redraw=cp,34.03,owned by a public authority,permissioned,,,,,,249,,,2017-12-15,,
