OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/unitary-authority/telford-and-wrekin,Telford & Wrekin Council,BR1,"Former Celestica, Castle Farm Way, Priorslee, Telford, Shropshire, TF2 9QS",-2.412299,52.685273,http://www.telford.gov.uk/downloads/file/6575/br1_-_former_celestica_castle_farm_way_priorslee,16.52,not owned by a public authority,,permissioned,outline planning permission,2014-03-26,https://secure.telford.gov.uk/planning/pa-applicationsummarybackground-public.aspx?Applicationnumber=TWC/2013/0769,600,,yes,"Full planning application TWC/2017/0941 recently submitted on site.
Erection of up to 600 dwellinghouses, means of access, internal roads, associated infrastructure, hard and soft landscaping and public open space
https://secure.telford.gov.uk/planning/pa-applicationsummary.aspx?Applicationnumber=TWC/2013/0769",2016-12-01,2016-12-01,
http://opendatacommunities.org/id/unitary-authority/telford-and-wrekin,Telford & Wrekin Council,BR3,"Grange Park Primary School, Calcott, Stirchley, Telford, Shropshire, TF3 1YQ",-2.43151,52.657732,http://www.telford.gov.uk/downloads/file/6576/br3_-_grange_park_primary_school,0.58,owned by a public authority,,permissioned,outline planning permission,2013-10-04,https://secure.telford.gov.uk/planning/pa-applicationsummarybackground-public.aspx?Applicationnumber=TWC/2013/0808,37,,yes,"Prior approval permission granted for demolition of the primary school under planning application TWC/2017/0506
Outline application for the demolition of the existing school buildings and erection of up to 37 dwellings together with associated open space, landscaping and infrastructure (all matters reserved)
https://secure.telford.gov.uk/planning/pa-applicationsummary.aspx?Applicationnumber=TWC/2013/0808",2016-12-01,2016-12-01,
http://opendatacommunities.org/id/unitary-authority/telford-and-wrekin,Telford & Wrekin Council,BR4,"Sutherland Co Operative Academy, Gibbons Road, Trench, Telford, Shropshire, TF2 7JR",-2.447226,52.712735,http://www.telford.gov.uk/downloads/file/6577/br4_-_sutherland_cooperative_academy,5.29,owned by a public authority,,permissioned,outline planning permission,2016-05-31,https://secure.telford.gov.uk/planning/pa-applicationsummarybackground-public.aspx?Applicationnumber=TWC/2013/0861,123,,yes,"Demolition determination permitted development granted under TWC/2015/0208
Outline planning permission for the erection of up to 123no. dwellings together with open space, sports pitches, landscaping and associated infrastructure, and the demolition of the existing school buildings with all matters reserved
https://secure.telford.gov.uk/planning/pa-applicationsummary.aspx?Applicationnumber=TWC/2013/0861",2016-12-01,2016-12-01,
http://opendatacommunities.org/id/unitary-authority/telford-and-wrekin,Telford & Wrekin Council,BR5,"Land at Park Road, Dawley Bank, Telford, Shropshire",-2.466977,52.674336,http://www.telford.gov.uk/downloads/file/6578/br5_-_land_at_park_road_dawley_bank,0.54,owned by a public authority,,permissioned,outline planning permission,2010-11-23,https://secure.telford.gov.uk/planning/pa-applicationsummarybackground-public.aspx?Applicationnumber=TWC/2010/0502,20,,yes,"
Outline application for 100% affordable residential development with all matters reserved for subsequent approval.
https://secure.telford.gov.uk/planning/pa-applicationsummary.aspx?applicationnumber=TWC/2010/0502",2016-12-01,2016-12-01,
http://opendatacommunities.org/id/unitary-authority/telford-and-wrekin,Telford & Wrekin Council,BR6,"Land back of Constitutional Hill, College, Masonic Building Constitution Hill, Wellington, Telford, Shropshire, TF1 3AY",-2.513879,52.702442,http://www.telford.gov.uk/downloads/file/6579/br6_-_land_back_of_constitutional_hil,0.253,not owned by a public authority,,permissioned,outline planning permission,2015-04-16,https://secure.telford.gov.uk/planning/pa-applicationsummarybackground-public.aspx?Applicationnumber=TWC/2014/1053,4,,yes,"
Outline application for the erection of 4no. dwellings with associated access
https://secure.telford.gov.uk/planning/pa-applicationsummary.aspx?Applicationnumber=TWC/2014/1053",2016-12-01,2016-12-01,
http://opendatacommunities.org/id/unitary-authority/telford-and-wrekin,Telford & Wrekin Council,BR10,"Old Park 1, Old Park Way",-2.463348,52.679411,http://www.telford.gov.uk/downloads/file/6580/br10_-_old_park_1_old_park_way,6,owned by a public authority,,not permissioned,,,,200,,,"Full permission granted for importation of clean soil to test ground stability TWC/2016/1119
LDO being progressed on site and 6.0ha is the proposed residential area.
",2016-12-01,2016-12-01,
http://opendatacommunities.org/id/unitary-authority/telford-and-wrekin,Telford & Wrekin Council,BR11,"Land off Garfield Road, Mossey Green",-2.468045,52.688482,http://www.telford.gov.uk/downloads/file/6581/br11_-_land_off_garfield_road_mossey_green,1.052,not owned by a public authority,,permissioned,outline planning permission,2015-12-04,https://secure.telford.gov.uk/planning/pa-applicationsummarybackground-public.aspx?Applicationnumber=TWC/2015/0369,30,,yes,"
Site is part of planning application TWC/2015/0369 for 45 dwellings
https://secure.telford.gov.uk/planning/pa-applicationsummary.aspx?Applicationnumber=TWC/2015/0369",2016-12-01,2016-12-01,
http://opendatacommunities.org/id/unitary-authority/telford-and-wrekin,Telford & Wrekin Council,BR13,Land East of Fence Road,-2.478874,52.668193,http://www.telford.gov.uk/downloads/file/6582/br13_-_land_east_of_fence_road,0.43,owned by a public authority,,not permissioned,,,,13,,,"

",2016-12-01,2016-12-01,
http://opendatacommunities.org/id/unitary-authority/telford-and-wrekin,Telford & Wrekin Council,BR14,"Granville, Donnington Employment Site",-2.427055,52.710194,http://www.telford.gov.uk/downloads/file/6583/br14_-_granville_donnington_employment_site,6.45,owned by a public authority,,not permissioned,,,,406,,,"Part of the site is a Local development Order proposed by the Council. 4.9ha is the proposed residential area for the LDO
Part of the site is a Local development Order proposed by the Council. 4.9ha is the proposed residential area for the LDO
",2016-12-01,2016-12-01,
http://opendatacommunities.org/id/unitary-authority/telford-and-wrekin,Telford & Wrekin Council,BR15,"Land fronting south side of Water Lane, Newport Shropshire TF10 7LD",-2.378554,52.770454,http://www.telford.gov.uk/downloads/file/6584/br15_-_land_fronting_south_side_of_water_lane,1.38,not owned by a public authority,,pending decision,full planning permission,,https://secure.telford.gov.uk/planning/pa-applicationsummarybackground-public.aspx?Applicationnumber=TWC/2016/0589,67,,,"Part of site has planning application for Erection of 9no. dwellings and 3no. Flats.
Part of site has planning application for Erection of 9no. dwellings and 3no. Flats.
https://secure.telford.gov.uk/planning/pa-applicationsummary.aspx?Applicationnumber=TWC/2016/0589",2016-12-01,2017-12-01,
http://opendatacommunities.org/id/unitary-authority/telford-and-wrekin,Telford & Wrekin Council,BR16,"Old Park 2, Colliersway",-2.460624,52.682011,http://www.telford.gov.uk/downloads/file/6585/br16_-_old_park_2_colliersway,6.571,owned by a public authority,,not permissioned,,,,78,,,"Site allocated in the emerging Local Plan

",2016-12-01,2016-12-01,
http://opendatacommunities.org/id/unitary-authority/telford-and-wrekin,Telford & Wrekin Council,BR17,"Land at Mossey Green Land off Garfield Road, Red Lake, Ketley Bank, Telford, Shropshire",-2.467078,52.687973,http://www.telford.gov.uk/downloads/file/6586/br17_-_land_at_mossey_green_land_off_garfield_road,0.607,not owned by a public authority,,permissioned,outline planning permission,2015-12-04,https://secure.telford.gov.uk/planning/pa-applicationsummary.aspx?applicationnumber=TWC/2015/0369,20,,yes,"
Site has outline permission for erection of up to 45no. dwellings with all matters reserved
https://secure.telford.gov.uk/planning/pa-applicationsummary.aspx?Applicationnumber=TWC/2015/0369",2016-12-01,2017-12-01,
http://opendatacommunities.org/id/unitary-authority/telford-and-wrekin,Telford & Wrekin Council,BR18,88-102 Potters Bank Holyhead Road Ketley Telford Shropshire,-2.473455,52.696236,http://www.telford.gov.uk/downloads/file/6587/br18_-_88-102_potters_bank_holyhead_road_ketley,0.64,not owned by a public authority,,permissioned,full planning permission,2017-02-27,https://secure.telford.gov.uk/planning/pa-applicationsummarybackground-public.aspx?Applicationnumber=TWC/2015/1097,12,,yes,"
Planning application submitted for erection of 10no. dwellings with associated garages and access.
https://secure.telford.gov.uk/planning/pa-applicationsummary.aspx?applicationnumber=TWC/2015/1097",2016-12-01,2017-12-01,
