OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/south-ribble,South Ribble,2031,"Tusons Farm, Gill Lane, Walmer Bridge",-2.7848,53.7145,https://www.southribble.gov.uk/content/housing-land-availability,4.64,not owned by a public authority,,permissioned,full planning permission,2019-03-05,http://publicaccess.southribble.gov.uk/online-applications/,,,yes,,2019-07-04,2019-07-04,
http://opendatacommunities.org/id/district-council/south-ribble,South Ribble,MF02b,"Vernon Carus Site/Penwortham Mills, Factory Lane-Phase 2",-2.6984,53.7392,https://www.southribble.gov.uk/content/housing-land-availability,9.45,not owned by a public authority,,permissioned,outline planning permission,2015-12-22,http://publicaccess.southribble.gov.uk/online-applications/,,,yes,,2016-06-03,2019-07-04,
http://opendatacommunities.org/id/district-council/south-ribble,South Ribble,MF02c,"Vernon Carus Site/Penwortham Mills, Factory Lane-Phase 3",-2.6987,53.7405,https://www.southribble.gov.uk/content/housing-land-availability,1.17,not owned by a public authority,,permissioned,outline planning permission,2015-12-22,http://publicaccess.southribble.gov.uk/online-applications/,,,yes,,2016-06-03,2019-07-04,
http://opendatacommunities.org/id/district-council/south-ribble,South Ribble,TG08,Gas Holders Site (Morris Homes) (aka Land off Wateringpool Lane),-2.6888,53.7337,https://www.southribble.gov.uk/content/housing-land-availability,1.9,not owned by a public authority,,not permissioned,,,http://publicaccess.southribble.gov.uk/online-applications/,,,yes,,2017-09-20,2019-07-04,
http://opendatacommunities.org/id/district-council/south-ribble,South Ribble,2013,"Church Farm, Liverpool Old Road, Much Hoole",-2.8148,53.6951,https://www.southribble.gov.uk/content/housing-land-availability,0.63,not owned by a public authority,,permissioned,full planning permission,2018-10-19,http://publicaccess.southribble.gov.uk/online-applications/,,,yes,,2019-07-04,2019-07-04,
http://opendatacommunities.org/id/district-council/south-ribble,South Ribble,2016,"Land adj Banks Farm, Station Road, Little Hoole",-2.8005,53.7079,https://www.southribble.gov.uk/content/housing-land-availability,0.26,not owned by a public authority,,permissioned,outline planning permission,2018-10-30,http://publicaccess.southribble.gov.uk/online-applications/,,,yes,,2019-07-04,2019-07-04,
http://opendatacommunities.org/id/district-council/south-ribble,South Ribble,1987,"Golden Ball Hotel, 150 Liverpool Road, Longton",-2.7921,53.7254,https://www.southribble.gov.uk/content/housing-land-availability,0.26,not owned by a public authority,,permissioned,full planning permission,2018-04-10,http://publicaccess.southribble.gov.uk/online-applications/,,,yes,,2019-07-04,2019-07-04,
http://opendatacommunities.org/id/district-council/south-ribble,South Ribble,1395,"Rosedale, Gill Lane, Longton",-2.7762,53.7122,https://www.southribble.gov.uk/content/housing-land-availability,0.41,not owned by a public authority,,permissioned,outline planning permission,2019-01-03,http://publicaccess.southribble.gov.uk/online-applications/,,,yes,,2019-07-04,2019-07-04,
http://opendatacommunities.org/id/district-council/south-ribble,South Ribble,2017,"Earnshaw Business Centre, High Lane, Leyland",-2.7238,53.7042,https://www.southribble.gov.uk/content/housing-land-availability,0.28,not owned by a public authority,,permissioned,full planning permission,2018-11-12,http://publicaccess.southribble.gov.uk/online-applications/,,,yes,,2019-07-04,2019-07-04,
http://opendatacommunities.org/id/district-council/south-ribble,South Ribble,NLH08b (NE part),Land at Orchard Avenue,-2.7405,53.7218,https://www.southribble.gov.uk/content/housing-land-availability,0.26,not owned by a public authority,,permissioned,full planning permission,2018-01-11,http://publicaccess.southribble.gov.uk/online-applications/,,,yes,,2019-07-04,2019-07-04,
http://opendatacommunities.org/id/district-council/south-ribble,South Ribble,MS02,"Moss Side Test Track, Aston Way/Titan Way",-2.7276,53.7006,https://www.southribble.gov.uk/content/housing-land-availability,40.6,not owned by a public authority,,pending decision,,,http://publicaccess.southribble.gov.uk/online-applications/,,,yes,,2017-09-20,2019-07-04,
http://opendatacommunities.org/id/district-council/south-ribble,South Ribble,BBW02,Land off Brownedge Road,-2.6695,53.7279,https://www.southribble.gov.uk/content/housing-land-availability,2.7,owned by a public authority,,not permissioned,,,http://publicaccess.southribble.gov.uk/online-applications/,,,yes,,2017-09-20,2019-07-04,
http://opendatacommunities.org/id/district-council/south-ribble,South Ribble,TG05,"Lostock Hall Primary School, Avondale Drive",-2.688,53.7255,https://www.southribble.gov.uk/content/housing-land-availability,1.5,owned by a public authority,,not permissioned,,,http://publicaccess.southribble.gov.uk/online-applications/,,,yes,,2017-09-20,2019-07-04,
http://opendatacommunities.org/id/district-council/south-ribble,South Ribble,SW13,"Shakespeare Foundry (previously Coupe's Foundry), Kittlingborne Brow, Higher Walton (aka Shakespeare Foundry)",-2.6454,53.742,https://www.southribble.gov.uk/content/housing-land-availability,2.3,not owned by a public authority,,not permissioned,,,http://publicaccess.southribble.gov.uk/online-applications/,,,yes,,2017-09-20,2019-07-04,
http://opendatacommunities.org/id/district-council/south-ribble,South Ribble,HP01,"Pollard's Farm, Howick Cross Lane",-2.7615,53.7466,https://www.southribble.gov.uk/content/housing-land-availability,2.4,owned by a public authority,,not permissioned,,,http://publicaccess.southribble.gov.uk/online-applications/,,,yes,,2017-09-20,2019-07-04,
