OrganisationURI,SiteReference,GeoX,GeoY,Hectares,FirstAddedDate,LastUpdatedDate
,101020,333368.000,252533.000,0.08,#N/A,#N/A
,162384,340264.000,263849.000,0,#N/A,#N/A
,161067,345303.000,251313.000,0,#N/A,#N/A
,151090,352786.000,251339.000,0,#N/A,#N/A
,162438,354402.000,250794.000,0,#N/A,#N/A
,162506,352786.000,251339.000,0.34,#N/A,#N/A
,162618,353435.000,251122.000,0.44,#N/A,#N/A
,164128,367711.000,241760.000,0.01,#N/A,#N/A
,152897,358055.000,226141.000,0,#N/A,#N/A
,153594,358861.000,224218.000,0.23,#N/A,#N/A
,160361,353927.000,267777.000,0,#N/A,#N/A
,161877,365124.000,254532.000,0,#N/A,#N/A
,162480,365599.000,254829.000,0.09,#N/A,#N/A
,162820,365408.000,254717.000,0.05,#N/A,#N/A
,153810,346714.000,244778.000,0,#N/A,#N/A
,160600,346680.000,244844.000,0,#N/A,#N/A
,174386,346714.000,244778.000,0,#N/A,#N/A
,160340,347023.000,251087.000,0,#N/A,#N/A
,162311,346372.000,250960.000,0.39,#N/A,#N/A
,142860,326170.000,245299.000,0,#N/A,#N/A
,160200,324709.000,245852.000,0,#N/A,#N/A
,170353,326176.000,245299.000,0,#N/A,#N/A
,163936,373678.000,247454.000,0,#N/A,#N/A
,30719,372666.500,246850.500,0.32,#N/A,#N/A
,161944,372564.000,246613.000,0,#N/A,#N/A
,163491,358289.000,240149.000,0,#N/A,#N/A
,143678,331597.000,241640.000,0.14,#N/A,#N/A
,163056,331526.000,241619.000,0,#N/A,#N/A
,164098,337177.000,229416.000,0,#N/A,#N/A
,143624,331310.000,249098.000,0.07,#N/A,#N/A
,161674,339200.000,227668.000,0,#N/A,#N/A
,152955,357895.000,234425.000,0.22,#N/A,#N/A
,152359,360925.000,228468.000,0.85,#N/A,#N/A
,170132,357156.000,219885.000,0,#N/A,#N/A
,153500,349672.000,237046.000,0.01,#N/A,#N/A
,164079,353515.000,240450.000,0,#N/A,#N/A
,162033,344958.000,260296.000,0,#N/A,#N/A
,163290,344837.000,261425.000,0,#N/A,#N/A
,162468,343231.000,234830.000,0,#N/A,#N/A
,113545,329804.000,256729.000,0,#N/A,#N/A
,141330,329778.000,255799.000,0.23,#N/A,#N/A
,161093,329764.000,256733.000,0.06,#N/A,#N/A
,162420,329580.000,256689.000,0,#N/A,#N/A
,163478,329513.000,254601.000,0,#N/A,#N/A
,160663,333853.000,249234.000,0,#N/A,#N/A
,163836,355668.000,262438.000,0,#N/A,#N/A
,143537,371188.000,237671.000,0,#N/A,#N/A
,151075,370810.000,237647.000,0,#N/A,#N/A
,162063,371141.000,237693.000,0.04,#N/A,#N/A
,163055,371118.000,237545.000,0,#N/A,#N/A
,150996,340505.000,274267.000,0,#N/A,#N/A
,100122,347448.000,258786.000,1.39,#N/A,#N/A
,141006,348125.000,258701.000,0,#N/A,#N/A
,141022,350091.000,259085.000,0.45,#N/A,#N/A
,160226,349345.000,259724.000,0,#N/A,#N/A
,161456,349599.000,259038.000,0.04,#N/A,#N/A
,161937,348021.000,258586.000,0.04,#N/A,#N/A
,153016,364972.000,224034.000,0,#N/A,#N/A
,163753,360382.000,250832.000,0,#N/A,#N/A
