OrganisationURI,SiteReference,GeoX,GeoY,Hectares,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/aylesbury-vale,AST033,-0.735945,51.798552,5.5,2017-12-19,2017-12-19,
http://opendatacommunities.org/id/district-council/aylesbury-vale,AYL025,-0.806423,51.824499,0.15,2017-12-19,2017-12-19,
http://opendatacommunities.org/id/district-council/aylesbury-vale,AYL028,-0.827384,51.821383,4.43,2017-12-19,2017-12-19,
http://opendatacommunities.org/id/district-council/aylesbury-vale,AYL029,-0.810238,51.852627,0.78,2017-12-19,2017-12-19,
http://opendatacommunities.org/id/district-council/aylesbury-vale,AYL032,-0.81638,51.819924,0.04,2017-12-19,2017-12-19,
http://opendatacommunities.org/id/district-council/aylesbury-vale,AYL052,-0.809452,51.81856,0.92,2017-12-19,2017-12-19,
http://opendatacommunities.org/id/district-council/aylesbury-vale,AYL059,-0.815393,51.819959,0.49,2017-12-19,2017-12-19,
http://opendatacommunities.org/id/district-council/aylesbury-vale,AYL068,-0.803464,51.821142,1.11,2017-12-19,2017-12-19,
http://opendatacommunities.org/id/district-council/aylesbury-vale,AYL076,-0.824955,51.821611,4.07,2017-12-19,2017-12-19,
http://opendatacommunities.org/id/district-council/aylesbury-vale,AYL082,-0.822393,51.820821,4.34,2017-12-19,2017-12-19,
http://opendatacommunities.org/id/district-council/aylesbury-vale,AYL108,-0.813969,51.817283,0.01,2017-12-19,2017-12-19,
http://opendatacommunities.org/id/district-council/aylesbury-vale,AYL110,-0.808652,51.813696,0.42,2017-12-19,2017-12-19,
http://opendatacommunities.org/id/district-council/aylesbury-vale,AYL115,-0.847259,51.823765,6.6,2017-12-19,2017-12-19,
http://opendatacommunities.org/id/district-council/aylesbury-vale,AYL116,-0.815533,51.815735,0.04,2017-12-19,2017-12-19,
http://opendatacommunities.org/id/district-council/aylesbury-vale,AYL123,-0.818208,51.821597,0.05,2017-12-19,2017-12-19,
http://opendatacommunities.org/id/district-council/aylesbury-vale,BUC005,-0.985464,52.003363,0.21,2017-12-19,2017-12-19,
http://opendatacommunities.org/id/district-council/aylesbury-vale,BUC060,-0.970841,51.989857,5.1,2017-12-19,2017-12-19,
http://opendatacommunities.org/id/district-council/aylesbury-vale,BUC064,-1.001816,52.035142,0.22,2017-12-19,2017-12-19,
http://opendatacommunities.org/id/district-council/aylesbury-vale,SMD011,-0.806232,51.794942,3.73,2017-12-19,2017-12-19,
