OrganisationURI,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/dartford,20,"Former Co-Op 20-54 Hythe Street and Westgate Car Park, Kent Road, Dartford",0.215652,51.445657,https://www.dartford.gov.uk/__data/assets/pdf_file/0006/885885/020-Former-Co-Op-and-Westgate-Car-Park-BLR2019.pdf,1.08,mixed ownership,,not permissioned,,,,60,140,yes,,2017-12-19,2019-12-16,
http://opendatacommunities.org/id/district-council/dartford,22,"Land at Former Vauxhall Farm, East of 110-114 Lowfield Street, Dartford",0.216322,51.44077,https://www.dartford.gov.uk/__data/assets/pdf_file/0005/885893/022-Land-at-Vauxhall-Farm-BLR2019.pdf,0.31,not owned by a public authority,,pending decision,,,,10,92,yes,,2017-12-19,2019-12-16,
http://opendatacommunities.org/id/district-council/dartford,23,"Builders Yard, 1 Spring Vale, Knockhall Road, Greenhithe DA9 9HA",0.290361,51.445713,"https://www.dartford.gov.uk/__data/assets/pdf_file/0006/885894/023-Builders-Yard,-Spring-Vale-BLR2019.pdf",0.59,not owned by a public authority,,not permissioned,,,,24,30,,,2017-12-19,2019-12-16,
http://opendatacommunities.org/id/district-council/dartford,28,"Orchard House, Coopers Road, Swanscombe",0.312706,51.442154,https://www.dartford.gov.uk/__data/assets/pdf_file/0005/885902/028-Orchard-House-BLR2019.pdf,0.03,not owned by a public authority,,not permissioned,,,,5,5,,,2017-12-19,2019-12-16,
http://opendatacommunities.org/id/district-council/dartford,30,"Vineyard Church Centre, 14-18 Lowfield Street and 24 Market Street, Dartford",0.217427,51.443681,https://www.dartford.gov.uk/__data/assets/pdf_file/0004/885910/030-14-18-Lowfield-Street-BLR2019.pdf,0.03,not owned by a public authority,,permissioned,full planning permission,2018-12-05,https://publicaccess.dartford.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PJ9SF2BQFI900,5,5,yes,,2019-12-16,2019-12-16,
http://opendatacommunities.org/id/district-council/dartford,31,"Land to the Rear of 67-97 Station Road, Longfield DA3 7QA",0.301034,51.396608,"https://www.dartford.gov.uk/__data/assets/pdf_file/0007/885913/031-Land-rear-of-67-97-Station-Road,-Longfield-BLR2019.pdf",0.15,not owned by a public authority,,not permissioned,,,,5,7,,,2017-12-19,2019-12-16,
http://opendatacommunities.org/id/district-council/dartford,32,"52 Spital Street, Dartford DA1 2DT",0.214034,51.444627,https://www.dartford.gov.uk/__data/assets/pdf_file/0011/885917/032-52-Spital-Street-SHLAA-BLR2019.pdf,0.1,not owned by a public authority,,permissioned,full planning permission,2019-12-10,https://publicaccess.dartford.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,14,14,yes,,2017-12-19,2019-12-16,
http://opendatacommunities.org/id/district-council/dartford,33,"22-26 Spital Street (former Courts Furniture store), Dartford",0.215405,51.444412,https://www.dartford.gov.uk/__data/assets/pdf_file/0006/885921/033-22-26-Spital-Street-Courts-BLR2019.pdf,0.11,not owned by a public authority,,not permissioned,,,,5,7,,,2017-12-19,2019-12-16,
http://opendatacommunities.org/id/district-council/dartford,35,"SWCS Car Sales, Craylands Lane, Swanscombe",0.301099,51.446582,"https://www.dartford.gov.uk/__data/assets/pdf_file/0009/885924/035-Car-Sales,-Craylands-Lane-BLR2019.pdf",0.06,not owned by a public authority,,not permissioned,,,,5,5,,,2017-12-19,2019-12-16,
http://opendatacommunities.org/id/district-council/dartford,39,"The Pits, St Vincents Road, Dartford",0.23315,51.442654,"https://www.dartford.gov.uk/__data/assets/pdf_file/0011/885926/039-The-Pits,-St-Vincents-BLR2019.pdf",0.39,not owned by a public authority,,not permissioned,,,,14,18,,,2017-12-19,2017-12-19,
http://opendatacommunities.org/id/district-council/dartford,42,"Land rear of 150-160 Milton Road, Swanscombe",0.305145,51.446619,"https://www.dartford.gov.uk/__data/assets/pdf_file/0006/885930/042-Land-Rear-of-Milton-Road,-Swanscombe-BLR2019.pdf",0.16,owned by a public authority,,not permissioned,,,,5,5,,,2017-12-19,2019-12-16,
http://opendatacommunities.org/id/district-council/dartford,44,"Land adjacent to Old Rectory and Former Day Nursery, south of St Mary's Road, Stone",0.262607,51.451954,https://www.dartford.gov.uk/__data/assets/pdf_file/0007/885931/044-Land-South-Of-St-Marys-Road-BLR2019.pdf,0.54,not owned by a public authority,,permissioned,full planning permission,2018-11-07,https://publicaccess.dartford.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=P0ZZY8BQKIF00,70,70,yes,,2017-12-19,2019-12-16,
http://opendatacommunities.org/id/district-council/dartford,53,"40 Chastilian Road, Dartford DA1 3JJ",0.190938,51.443784,https://www.dartford.gov.uk/__data/assets/pdf_file/0012/885936/053-40-Chastilian-Road-BLR2019.pdf,0.1,not owned by a public authority,,pending decision,,,,5,6,,,2017-12-19,2017-12-19,
http://opendatacommunities.org/id/district-council/dartford,62,"125 St Vincents Road, Dartford DA1 1UU",0.230354,51.447006,https://www.dartford.gov.uk/__data/assets/pdf_file/0004/885937/062-125-St-Vincents-Road-BLR2019.pdf,0.34,not owned by a public authority,,not permissioned,,,,15,18,,,2017-12-19,2017-12-19,
http://opendatacommunities.org/id/district-council/dartford,84,"46-58 Lowfield Street, Dartford DA1 1HJ",0.216706,51.442463,https://www.dartford.gov.uk/__data/assets/pdf_file/0005/885938/084-46-58-Lowfield-Street-BLR2019.pdf,0.23,not owned by a public authority,,not permissioned,,,,14,22,,,2017-12-19,2017-12-19,
http://opendatacommunities.org/id/district-council/dartford,85,"127-129 Dartford Road, Dartford DA1 3EN",0.198637,51.447066,https://www.dartford.gov.uk/__data/assets/pdf_file/0006/885939/085-127-129-Dartford-Road-BLR2019.pdf,0.28,not owned by a public authority,,not permissioned,,,,13,14,,,2017-12-19,2017-12-19,
http://opendatacommunities.org/id/district-council/dartford,93,"1st, 2nd and 3rd Floors, 27-31 High Street, Dartford",0.218418,51.443932,"https://www.dartford.gov.uk/__data/assets/pdf_file/0007/885940/093-27-31-High-Street,-Dartford-BLR2019.pdf",0.06,not owned by a public authority,,permissioned,other,2017-07-03,https://publicaccess.dartford.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PWW567BQ00L00,14,14,yes,,2019-12-16,2019-12-16,
http://opendatacommunities.org/id/district-council/dartford,124,"Dartford Magistrates Court, Highfield Road, Dartford DA1 2JW",0.212152,51.444707,"https://www.dartford.gov.uk/__data/assets/pdf_file/0008/885941/124-Dartford-Magistrates-Court,-Highfield-Road-BLR2019.pdf",0.22,owned by a public authority,,not permissioned,,,,10,14,,,2017-12-19,2019-12-16,
http://opendatacommunities.org/id/district-council/dartford,125,"Rear Of 56-58 Spital Street, Dartford DA1 2DU (Land south of Spital Street)",0.213815,51.444577,,0.04,not owned by a public authority,,not permissioned,,,,,,,,2017-12-19,2017-12-19,2019-12-16
http://opendatacommunities.org/id/district-council/dartford,129,"Land At London Road And Craylands Lane, Craylands Lane, Swanscombe",0.298395,51.450637,https://www.dartford.gov.uk/__data/assets/pdf_file/0009/885942/129-Land-at-Craylands-Lane-BLR2019.pdf,1.78,not owned by a public authority,,permissioned,reserved matters approval,2019-01-10,http://applications.ebbsfleetdc.org.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=P44OTWUAFJB00,100,110,yes,,2017-12-19,2019-12-16,
http://opendatacommunities.org/id/district-council/dartford,167,"Orchards Shopping Centre, Dartford",0.218857,51.445273,https://www.dartford.gov.uk/__data/assets/pdf_file/0010/885943/167-Orchards-Shopping-Centre-BLR2019.pdf,1.86,not owned by a public authority,,not permissioned,,,,104,148,,,2019-12-16,2019-12-16,
http://opendatacommunities.org/id/district-council/dartford,171,"Instone House and Car Park, Instone Road, Dartford",0.214869,51.44256,"https://www.dartford.gov.uk/__data/assets/pdf_file/0006/885948/171-Instone-House,-Instone-Road-BLR2019.pdf",0.06,not owned by a public authority,,permissioned,other,2019-07-08,https://publicaccess.dartford.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PPP9THBQMIH00,15,15,yes,,2019-12-16,2019-12-16,
http://opendatacommunities.org/id/district-council/dartford,212,"The Priory Shopping Centre, Dartford DA1 2HR",0.215354,51.443648,https://www.dartford.gov.uk/__data/assets/pdf_file/0010/885952/212-Priory-Shopping-Centre-BLR2019.pdf,2.98,not owned by a public authority,,not permissioned,,,,156,402,,,2019-12-16,2019-12-16,
