OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,Deliverable,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/district-council/wychavon,Wychavon District Council,WDCBLR/0001,"Garage, High Street, Pershore",-2.076050,52.112947,https://www.wychavon.gov.uk/documents/10586/8906182/WDCBLR0001+Garage%2C+High+Street%2C+Pershore.pdf/9f85d54b-e638-fec0-a0ef-6c1203c8579b,0.47,Not owned by a public authority,Not Permissioned,,,,,18,22,,Development Plan Reference SWDP46/1,2017-12-28,2018-01-02,
http://opendatacommunities.org/id/district-council/wychavon,Wychavon District Council,WDCBLR/0002,"Garage Court, Abbots Road, Pershore",-2.082875,52.107935,https://www.wychavon.gov.uk/documents/10586/8906182/WDCBLR0002+Garage+Court%2C+Abbots+Road%2C+Pershore.pdf/85816cf7-879b-e28c-e570-4e3ff2582d21,0.25,Not owned by a public authority,Not Permissioned,,,,,12,14,,Development Plan Reference SWDP46/4,2017-12-28,2018-01-02,
http://opendatacommunities.org/id/district-council/wychavon,Wychavon District Council,WDCBLR/0003,"Boxing Club, Kidderminster Road, Droitwich Spa",-2.154180,52.270481,https://www.wychavon.gov.uk/documents/10586/8906182/WDCBLR0003+Boxing+Club%2C+Kidderminster+Road%2C+Droitwich+Spa.pdf/126e51a5-3345-2612-40d1-8969d57af592,0.11,Owned by a public authority,Not Permissioned,,,https://plan.wychavon.gov.uk/plandisp.aspx?recno=15149,,9,11,,Development Plan Reference SWDP48/2,2017-12-28,2018-01-02,
http://opendatacommunities.org/id/district-council/wychavon,Wychavon District Council,WDCBLR/0004,"Acre Lane, Droitwich Spa",-2.157913,52.269452,https://www.wychavon.gov.uk/documents/10586/8906182/WDCBLR0004+Acre+Lane%2C+Droitwich+Spa.pdf/3850a923-efc4-1b8e-0dd7-7c8d5a79a49c,0.38,Owned by a public authority,Not Permissioned,,,,,18,22,,Development Plan Reference SWDP48/4,2017-12-28,2018-01-02,
http://opendatacommunities.org/id/district-council/wychavon,Wychavon District Council,WDCBLR/0005,"Willow Court, Westwood Road, Droitwich Spa",-2.168000,52.270795,https://www.wychavon.gov.uk/documents/10586/8906182/WDCBLR0005+Willow+Court%2C+Westwood+Road%2C+Droitwich+Spa.pdf/dd5daf96-46c6-a525-6cc3-12defdd76fef,0.17,Owned by a public authority,Not Permissioned,,,https://plan.wychavon.gov.uk/plandisp.aspx?recno=17244,,9,11,,Development Plan Reference SWDP48/5,2017-12-28,2018-01-02,
http://opendatacommunities.org/id/district-council/wychavon,Wychavon District Council,WDCBLR/0006,"Canal Basin (Netherwich), Droitwich Spa",-2.153402,52.270222,https://www.wychavon.gov.uk/documents/10586/8906182/WDCBLR0006+Canal+Basin+%28Netherwich%29%2C+Droitwich+Spa.pdf/c3fe50c2-362c-49c9-5aed-d86525deb9e4,1.1,Not owned by a public authority,Not Permissioned,,,,,72,88,,Development Plan Reference SWDP48/6,2017-12-28,2018-01-02,
http://opendatacommunities.org/id/district-council/wychavon,Wychavon District Council,WDCBLR/0011,"Raven Hotel, St Andrews Street, Droitwich Spa",-2.148747,52.267306,https://www.wychavon.gov.uk/documents/10586/8906182/WDCBLR0011+Raven+Hotel%2C+St+Andrews+Street%2C+Droitwich+Spa.pdf/0e8fc8d6-97fc-1ab6-b63f-2ec5573c0505,1.19,Not owned by a public authority,Permissioned,full planning application,2018-08-30,https://plan.wychavon.gov.uk/plandisp.aspx?recno=93574,Yes,51,51,,Planning application 18/00580/FUL and 18/00579/LB,2017-12-28,2018-01-02,
http://opendatacommunities.org/id/district-council/wychavon,Wychavon District Council,WDCBLR/0012,"Garage Blocks & Vacant Land, Drovers Way, Droitwich Spa",-2.163408,52.277230,https://www.wychavon.gov.uk/documents/10586/8906182/WDCBLR0012+Garage+Blocks+%26+Vacant+Land%2C+Drovers+Way%2C+Droitwich+Spa.pdf/ee8bbb03-0187-9322-a912-2ef9a994ea4d,0.37,Not owned by a public authority,Permissioned,full planning application,2017-04-05,https://plan.wychavon.gov.uk/plandisp.aspx?recno=53133,Yes,6,6,,,2017-12-28,2019-01-02,
http://opendatacommunities.org/id/district-council/wychavon,Wychavon District Council,WDCBLR/0017,"Land off Blake Avenue and, Long Sling, Droitwich Spa",-2.163780,52.259015,https://www.wychavon.gov.uk/documents/10586/8906182/WDCBLR0017+Land+off+Blake+Avenue+and%2C+Long+Sling%2C+Droitwich+Spa.pdf/c04b0037-16b3-a7c1-df41-d3491c817033,0.25,Owned by a public authority,Permissioned,full planning application,2016-10-24,https://plan.wychavon.gov.uk/plandisp.aspx?recno=52740,Yes,11,11,,,2017-12-28,2019-01-02,
http://opendatacommunities.org/id/district-council/wychavon,Wychavon District Council,WDCBLR/0007,"Employment site, top of Kings Road, Evesham",-1.933185,52.096410,https://www.wychavon.gov.uk/documents/10586/8906182/WDCBLR0007+Employment+site%2C+top+of+Kings+Road%2C+Evesham.pdf/6bec6962-b82f-676e-7ed7-922b181fb357,3.8,Not owned by a public authority,Permissioned (part),full planning application,2015-04-17,https://plan.wychavon.gov.uk/plandisp.aspx?recno=46752,,90,110,,Development Plan Reference SWDP50/2 and on part of site planning permission w/14/01848/PN,2017-12-28,2019-01-02,
