OrganisationURI,OrganisationLabel,SiteReference,SiteNameAddress,GeoX,GeoY,SiteplanURL,Hectares,OwnershipStatus,HazardousSubstances,PlanningStatus,PermissionType,PermissionDate,PlanningHistory,NetDwellingsRangeFrom,NetDwellingsRangeTo,Deliverable,Notes,FirstAddedDate,LastUpdatedDate,EndDate
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,'9/702,Sturgeon Avenue-The Spinney,-1.174028,52.916768,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=443521&xmax=468921&ymin=331072&ymax=348991",0.85,not owned by a public authority,,not permissioned,,2007-06-22,http://publicaccess.,40,60,,,2017-12-15,,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,'9/527,"Canal Quarter-Waterway Street, Traffic Street",-1.150888,52.945624,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=443521&xmax=468921&ymin=331072&ymax=348991",1.07,not owned by a public authority,,not permissioned,,,,75,125,,,2016-06-24,,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,'9/1638,"Waterside-Cattle Market, Cattle Market Road",-1.135481,52.943533,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=443521&xmax=468921&ymin=331072&ymax=348991",3.34,not owned by a public authority,,not permissioned,,,,50,80,,,2017-12-15,,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,'9/2287,Site Of Mellors Court Sullivan Close Nottingham,-1.121944,52.963302,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=443521&xmax=468921&ymin=331072&ymax=348991",0.55,not owned by a public authority,,permissioned,full planning permission,2016-12-22,http://publicaccess.,26,26,yes,,2017-12-15,,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,'9/169,"Ellis and Everard site, Haydn Road",-1.164508,52.977005,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=443521&xmax=468921&ymin=331072&ymax=348991",1.01,not owned by a public authority,,permissioned,outline planning permission,2016-09-06,http://publicaccess.,29,29,yes,,2017-12-15,,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,'9/2258,"William Olds Youth Centre, 84 Chiltern Way",-1.156241,53.001353,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=443521&xmax=468921&ymin=331072&ymax=348991",0.35,owned by a public authority,,not permissioned,,,,20,20,yes,,2017-12-15,,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,'9/2014,198 Sneinton Dale,-1.121772,52.954253,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=443521&xmax=468921&ymin=331072&ymax=348991",0.11,not owned by a public authority,,permissioned,full planning permission,2013-07-10,http://publicaccess.,6,6,yes,,2016-06-24,,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,'9/2181,"2-4, Clinton Terrace, Derby Road NG7 1LY",-1.164166,52.954907,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=443521&xmax=468921&ymin=331072&ymax=348991",0.1,not owned by a public authority,,permissioned,full planning permission,2015-10-14,http://publicaccess.,11,11,yes,,2017-12-15,,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,'9/1917,"St Peters Vicarage And Church Hall, 177 Hartley Road",-1.179497,52.959653,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=443521&xmax=468921&ymin=331072&ymax=348991",0.25,not owned by a public authority,,permissioned,full planning permission,2014-02-17,http://publicaccess.,7,7,yes,,2016-06-24,,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,'9/1793,Car park site of 192 North Sherwood Street,-1.151949,52.962714,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=443521&xmax=468921&ymin=331072&ymax=348991",0.03,not owned by a public authority,,permissioned,full planning permission,2012-02-09,http://publicaccess.,8,8,yes,,2016-06-24,,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,'9/2254,5-7 Waverley Street and 146 Portland Road,-1.158786,52.959885,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=443521&xmax=468921&ymin=331072&ymax=348991",0.12,not owned by a public authority,,not permissioned,,,,11,11,,,2017-12-15,,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,'9/384,Wilkinson Street-Former PZ Cussons,-1.178439,52.970727,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=443521&xmax=468921&ymin=331072&ymax=348991",6.6,not owned by a public authority,,not permissioned,,2010-11-30,http://publicaccess.,65,90,,,2017-12-15,,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,'9/2011,15 Long Row Nottingham NG1 2DH,-1.148881,52.953995,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=443521&xmax=468921&ymin=331072&ymax=348991",0.04,not owned by a public authority,,permissioned,full planning permission,2013-12-23,http://publicaccess.,6,6,yes,,2016-06-24,,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,'9/2240,"Blackstone Walk Meadows (regeneration site), Blackstone Walk Meadows",-1.148911,52.94311,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=443521&xmax=468921&ymin=331072&ymax=348991",0.52,owned by a public authority,,permissioned,full planning permission,2017-01-31,http://publicaccess.,23,23,yes,,2017-12-15,,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,'9/507,Chalfont Drive-Former Government Buildings,-1.19795,52.964172,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=443521&xmax=468921&ymin=331072&ymax=348991",13.79,not owned by a public authority,,permissioned,full planning permission,2015-11-20,http://publicaccess.,433,433,yes,,2017-12-15,,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,'9/2163,410-414 Radford Road NG7 7NP,-1.174335,52.971838,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=443521&xmax=468921&ymin=331072&ymax=348991",0.05,not owned by a public authority,,permissioned,full planning permission,2015-06-02,http://publicaccess.,8,8,yes,,2017-12-15,,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,'9/2173,"561 Valley Road, NG5 1JG",-1.174054,52.980063,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=443521&xmax=468921&ymin=331072&ymax=348991",0.04,not owned by a public authority,,permissioned,other,2015-08-11,http://publicaccess.,7,7,yes,,2017-12-15,,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,'9/1579,"Robin Hood Chase, St Ann's Well Road",-1.138094,52.963088,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=443521&xmax=468921&ymin=331072&ymax=348991",0.47,owned by a public authority,,not permissioned,,2010-07-23,http://publicaccess.,11,17,,,2017-12-15,,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,'9/2252,"Old Town Hall, Highbury Road",-1.195887,53.000192,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=443521&xmax=468921&ymin=331072&ymax=348991",0.05,not owned by a public authority,,permissioned,full planning permission,2017-03-21,http://publicaccess.,21,21,yes,,2017-12-15,,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,'9/1119,"Hyson Green Community Centre, St Pauls Avenue",-1.17206,52.965995,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=443521&xmax=468921&ymin=331072&ymax=348991",0.08,not owned by a public authority,,permissioned,full planning permission,2014-08-26,http://publicaccess.,12,12,yes,,2016-06-24,,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,'9/525,"Canal Quarter-Queens Road, East of Nottingham Station, Queens Road",-1.141916,52.946828,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=443521&xmax=468921&ymin=331072&ymax=348991",1.24,not owned by a public authority,,not permissioned,,,,150,200,,,2017-12-15,,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,'9/1667,Edwards Lane-Former Haywood School Site,-1.15039,52.994097,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=443521&xmax=468921&ymin=331072&ymax=348991",3.37,not owned by a public authority,,permissioned,full planning permission,2014-12-12,http://publicaccess.,14,14,yes,,2017-12-15,,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,'9/1570,35 Wiverton Road,-1.159273,52.96941,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=443521&xmax=468921&ymin=331072&ymax=348991",0.03,not owned by a public authority,,permissioned,full planning permission,2014-08-08,http://publicaccess.,5,5,yes,,2017-12-15,,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,'9/2139,"Meadows Q Blocks: Site At Saffron Gardens And Beardsley Gardens And Site Of The Former Cromarty Court (Site A), Site At Middle Furlong Gardens (Site B), Site At Tarbert Close (Site C) And Bosworth Walk (Site D), NG2 1PR, Saffron Gardens And Beardsley Gard",-1.157609,52.941322,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=443521&xmax=468921&ymin=331072&ymax=348991",1.57,owned by a public authority,,permissioned,full planning permission,2014-11-14,http://publicaccess.,54,54,yes,,2017-12-15,,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,'9/26,47 Hungerhill Road,-1.13795,52.96536,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=443521&xmax=468921&ymin=331072&ymax=348991",0.22,not owned by a public authority,,not permissioned,,2012-04-20,http://publicaccess.,5,5,,,2016-06-24,,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,'9/2314,Site Of 43A Gregory Boulevard Nottingham,-1.169686,52.965821,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=443521&xmax=468921&ymin=331072&ymax=348991",0.08,not owned by a public authority,,permissioned,full planning permission,2016-09-13,http://publicaccess.,23,23,yes,,2017-12-15,,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,'9/653,Denewood Crescent-Denewood Centre,-1.219769,52.970735,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=443521&xmax=468921&ymin=331072&ymax=348991",3.04,owned by a public authority,,not permissioned,,,,90,120,yes,,2016-06-24,,
http://opendatacommunities.org/id/unitary-authority/nottingham,Nottingham City Council,'9/529,Canal Quarter-Arkwright Street East,-1.145729,52.945587,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=443521&xmax=468921&ymin=331072&ymax=348991",1.44,not owned by a public authority,,not permissioned,,,,100,140,,,2017-12-15,,
