entry-date,organisation,site,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
2019-11-20,local-authority-eng:BPL,BR001,53.809608,-3.047988,0.109622575,9,11,2017-12-15,,169ce09909a7a0036551370d6a4eb5c63f5ea6861908fb4506333adaa8976c98
2017-12-15,local-authority-eng:BPL,BR002,53.817481,-3.048737,0.043125763,0,0,2017-12-15,,169ce09909a7a0036551370d6a4eb5c63f5ea6861908fb4506333adaa8976c98
2018-12-13,local-authority-eng:BPL,BR003,53.806643,-3.051660,2.610607375,100,183,2017-12-15,2019-11-20,169ce09909a7a0036551370d6a4eb5c63f5ea6861908fb4506333adaa8976c98
2019-11-20,local-authority-eng:BPL,BR004,53.821627,-3.054701,0.116166998,10,15,2017-12-15,,169ce09909a7a0036551370d6a4eb5c63f5ea6861908fb4506333adaa8976c98
2017-12-15,local-authority-eng:BPL,BR005,53.823605,-3.040363,0.136030241,11,14,2017-12-15,,169ce09909a7a0036551370d6a4eb5c63f5ea6861908fb4506333adaa8976c98
2017-12-15,local-authority-eng:BPL,BR006,53.836554,-3.030404,0.090475148,0,0,2017-12-15,,169ce09909a7a0036551370d6a4eb5c63f5ea6861908fb4506333adaa8976c98
2019-11-20,local-authority-eng:BPL,BR007,53.859272,-3.049057,0.144858936,6,15,2017-12-15,,169ce09909a7a0036551370d6a4eb5c63f5ea6861908fb4506333adaa8976c98
2019-11-20,local-authority-eng:BPL,BR008,53.856942,-3.049007,0.198363533,5,35,2017-12-15,,169ce09909a7a0036551370d6a4eb5c63f5ea6861908fb4506333adaa8976c98
2017-12-15,local-authority-eng:BPL,BR009,53.795852,-3.050645,0.133533531,10,13,2017-12-15,2019-11-20,169ce09909a7a0036551370d6a4eb5c63f5ea6861908fb4506333adaa8976c98
2017-12-15,local-authority-eng:BPL,BR010,53.790548,-3.027995,0.171963036,0,0,2017-12-15,2019-11-20,169ce09909a7a0036551370d6a4eb5c63f5ea6861908fb4506333adaa8976c98
2017-12-15,local-authority-eng:BPL,BR011,53.785987,-3.057271,0.367341216,0,0,2017-12-15,,169ce09909a7a0036551370d6a4eb5c63f5ea6861908fb4506333adaa8976c98
2018-12-13,local-authority-eng:BPL,BR012,53.833316,-3.021891,0.360766928,0,0,2017-12-15,2019-11-20,169ce09909a7a0036551370d6a4eb5c63f5ea6861908fb4506333adaa8976c98
2017-12-15,local-authority-eng:BPL,BR013,53.870625,-3.033303,0.121591547,0,0,2017-12-15,2019-11-20,169ce09909a7a0036551370d6a4eb5c63f5ea6861908fb4506333adaa8976c98
2019-11-20,local-authority-eng:BPL,BR014,53.830924,-3.054228,0.121305118,0,0,2017-12-15,,169ce09909a7a0036551370d6a4eb5c63f5ea6861908fb4506333adaa8976c98
2018-12-13,local-authority-eng:BPL,BR015,53.833259,-3.031540,0.243767981,10,12,2018-12-13,2019-11-20,169ce09909a7a0036551370d6a4eb5c63f5ea6861908fb4506333adaa8976c98
2018-12-13,local-authority-eng:BPL,BR016,53.829389,-3.013472,0.218464319,9,18,2018-12-13,2019-11-20,169ce09909a7a0036551370d6a4eb5c63f5ea6861908fb4506333adaa8976c98
2018-12-13,local-authority-eng:BPL,BR017,53.824513,-3.042273,0.290171976,25,29,2018-12-13,2019-11-20,169ce09909a7a0036551370d6a4eb5c63f5ea6861908fb4506333adaa8976c98
2018-12-13,local-authority-eng:BPL,BR018,53.815992,-3.047566,0.59165695,42,52,2018-12-13,,169ce09909a7a0036551370d6a4eb5c63f5ea6861908fb4506333adaa8976c98
2018-12-13,local-authority-eng:BPL,BR019,53.811180,-3.049083,0.127395425,10,13,2018-12-13,,169ce09909a7a0036551370d6a4eb5c63f5ea6861908fb4506333adaa8976c98
2018-12-13,local-authority-eng:BPL,BR020,53.807175,-3.031248,0.307514507,12,16,2018-12-13,,169ce09909a7a0036551370d6a4eb5c63f5ea6861908fb4506333adaa8976c98
2019-11-20,local-authority-eng:BPL,BR021,53.803166,-2.994193,3.311779599,90,115,2018-12-13,,169ce09909a7a0036551370d6a4eb5c63f5ea6861908fb4506333adaa8976c98
2018-12-13,local-authority-eng:BPL,BR022,53.802257,-3.032811,0.178063608,0,0,2018-12-13,,169ce09909a7a0036551370d6a4eb5c63f5ea6861908fb4506333adaa8976c98
2019-11-20,local-authority-eng:BPL,BR023,53.787340,-3.012526,0.567228343,0,0,2019-11-20,,169ce09909a7a0036551370d6a4eb5c63f5ea6861908fb4506333adaa8976c98
