entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
2019-03-31,local-authority-eng:TEN,15/00578/FUL,"Sandles Inn, 26 Rosemary Road, Clacton On Sea, Essex CO15 1NZ",https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NN3PR3QB0GD00,,not owned by a public authority,not permissioned,,,51.7898,1.155063,0.16,,,2018-01-15,,cbcbbf652fbbca0bfd4c30217988ac35528da82e353ae46855e8218120dde248
2019-03-31,local-authority-eng:TEN,15/00615/FUL,"20-20B Market Street, Harwich CO12 3DX",https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NN9NLWQB0GS00,yes,not owned by a public authority,not permissioned,,,51.946683,1.287475,0.02,,,2018-01-15,,cbcbbf652fbbca0bfd4c30217988ac35528da82e353ae46855e8218120dde248
2018-03-31,local-authority-eng:TEN,17/01038/FUL,"27-31 High Street, Walton On The Naze, Essex CO14 8BN",https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NN9NLWQB0GS00,yes,not owned by a public authority,permissioned,full planning permission,,51.848691,1.269221,0.07,,,2018-01-15,,cbcbbf652fbbca0bfd4c30217988ac35528da82e353ae46855e8218120dde248
2019-03-31,local-authority-eng:TEN,17/01048/FUL,"274 Harwich Road, Little Clacton, Clacton On Sea, Essex CO16 9PY",https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OS5W9RQB0KO00,yes,not owned by a public authority,permissioned,full planning permission,,51.841504,1.156553,0.46,,,2018-01-15,,cbcbbf652fbbca0bfd4c30217988ac35528da82e353ae46855e8218120dde248
2019-03-31,local-authority-eng:TEN,16/01358/FUL,"7 Sea Pink Way, Jaywick, Essex CO15 2HQ",https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OCS432QB0GS00,yes,not owned by a public authority,permissioned,full planning permission,,51.77386,1.1166,0.02,,,2018-01-15,,cbcbbf652fbbca0bfd4c30217988ac35528da82e353ae46855e8218120dde248
2019-03-31,local-authority-eng:TEN,11/01124/FUL,723 Main Road Harwich Essex,https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=LRYT6ZQB07Y00,,not owned by a public authority,permissioned,,,51.930359,1.24416,0.1,,,2018-01-15,,cbcbbf652fbbca0bfd4c30217988ac35528da82e353ae46855e8218120dde248
2019-03-31,local-authority-eng:TEN,18/01010/FUL,"Land Site of Former Ramsey Primary School, Wix Road, Ramsey, Essex",https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=PAQ9HEQB0GI00,yes,not owned by a public authority,permissioned,full planning permission,,51.927368,1.209004,0.62,,,2018-01-15,,cbcbbf652fbbca0bfd4c30217988ac35528da82e353ae46855e8218120dde248
2019-03-31,local-authority-eng:TEN,17/01479/FUL,"2 High Street, Manningtree, Essex CO11 1AD",https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OVUUROQB0LD00,yes,not owned by a public authority,permissioned,full planning permission,,51.945187,1.062428,0.04,,,2018-01-15,,cbcbbf652fbbca0bfd4c30217988ac35528da82e353ae46855e8218120dde248
2019-03-31,local-authority-eng:TEN,15/01791/FUL,"79 Stour Road, Harwich",https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NYF3JHQB01U00,yes,not owned by a public authority,not permissioned,,,51.940989,1.283174,0.05,,,2018-01-15,,cbcbbf652fbbca0bfd4c30217988ac35528da82e353ae46855e8218120dde248
2019-03-31,local-authority-eng:TEN,15/01634/FUL,"The Abbey, High Street, Mistley",https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NWVIXSQB0JH00,yes,not owned by a public authority,not permissioned,,,51.944433,1.07925,0.21,,,2018-01-15,,cbcbbf652fbbca0bfd4c30217988ac35528da82e353ae46855e8218120dde248
2019-03-31,local-authority-eng:TEN,16/01829/FUL,"The Carlton, Rosemary Road, Clacton On Sea, Essex",https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OGF6UWQB0KO00,yes,not owned by a public authority,permissioned,full planning permission,,51.789585,1.152654,0.07,,,2018-01-15,,cbcbbf652fbbca0bfd4c30217988ac35528da82e353ae46855e8218120dde248
