entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
,,,"High Road Broxbourne, Broxbourne, EN10 7DD, Broxbourne School",,,owned by a public authority,permissioned,,,,,6.093,,,,,a4a214334df3b54c8fffa74c29638644383a07511b022adaf866a78d15bf2952
,,,"Churchgate, Cheshunt, EN8 9ED, Former St Marys High School Site",,,not owned by a public authority,permissioned,,,,,3.055,,,,,a4a214334df3b54c8fffa74c29638644383a07511b022adaf866a78d15bf2952
,,,"Park Lane Paradise, Cheshunt, EN7 6TD, Cheshunt Park Farm",,,not owned by a public authority,permissioned,,,,,2.238,,,,,a4a214334df3b54c8fffa74c29638644383a07511b022adaf866a78d15bf2952
,,,"Land rear of 45-47 high Street, Cheshunt, EN8 0BS, Land rear of 45-47 High Street",,,not owned by a public authority,permissioned,,,,,0.083,,,,,a4a214334df3b54c8fffa74c29638644383a07511b022adaf866a78d15bf2952
,,,"Rosedale Way, Cheshunt, Waltham Cross, Hertfordshire, EN7 6HR, Fourfields",,,owned by a public authority,permissioned,,,,,0.5224,,,,,a4a214334df3b54c8fffa74c29638644383a07511b022adaf866a78d15bf2952
,,,"6 Windmill Lane, Cheshunt, EN8 9AA, Wolsey Hall",,,owned by a public authority,permissioned,,,,,0.158,,,,,a4a214334df3b54c8fffa74c29638644383a07511b022adaf866a78d15bf2952
,,,"Delamare Road, Cheshunt, Cheshunt Lakeside",,,not owned by a public authority,not permissioned,,,,,12.46,,,,,a4a214334df3b54c8fffa74c29638644383a07511b022adaf866a78d15bf2952
,,,"Bishops College, Churchgate, Cheshunt, EN8 9XG, Broxbourne Borough Council Offices and Car Park",,,owned by a public authority,not permissioned,,,,,1.911,,,,,a4a214334df3b54c8fffa74c29638644383a07511b022adaf866a78d15bf2952
,,,"Theobalds Lane, Cheshunt, Hertfordshire, EN8 8RU, Cheshunt Football Club",,,owned by a public authority,not permissioned,,,,,5.304,,,,,a4a214334df3b54c8fffa74c29638644383a07511b022adaf866a78d15bf2952
,,,"577-579 Goffs Lane, Goffs Oak, EN7 5HJ, South of Goffs Lane/Manning Ground",,,not owned by a public authority,not permissioned,,,,,1.883,,,,,a4a214334df3b54c8fffa74c29638644383a07511b022adaf866a78d15bf2952
