entry-date,organisation,site,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
2018-12-10,http://opendatacommunities.org/id/unitary-authority/hartlepool,BR1 - Blakelock Road,531412,449672,0.6,10.0,15.0,2017-12-17,,d60c28d4f0e547dd62b2fda1905ed961ced779781c467ea6a241c0b3eee7ccea
2018-12-10,http://opendatacommunities.org/id/unitary-authority/hartlepool,BR2 - Brenda Road East,529405,451279,4.72,100.0,140.0,2017-12-17,,d60c28d4f0e547dd62b2fda1905ed961ced779781c467ea6a241c0b3eee7ccea
2018-12-10,http://opendatacommunities.org/id/unitary-authority/hartlepool,BR3 - Britmag Central,534803,451395,3.6,,,2017-12-17,,d60c28d4f0e547dd62b2fda1905ed961ced779781c467ea6a241c0b3eee7ccea
2018-12-10,http://opendatacommunities.org/id/unitary-authority/hartlepool,BR4 - Britmag North,535386,450313,21.0,,,2017-12-17,,d60c28d4f0e547dd62b2fda1905ed961ced779781c467ea6a241c0b3eee7ccea
2018-12-10,http://opendatacommunities.org/id/unitary-authority/hartlepool,BR5 - Britmag South,534652,451626,1.2,,,2017-12-17,,d60c28d4f0e547dd62b2fda1905ed961ced779781c467ea6a241c0b3eee7ccea
2018-12-10,http://opendatacommunities.org/id/unitary-authority/hartlepool,BR6 - Carr & Hopps,533006,450320,2.2,,,2017-12-17,,d60c28d4f0e547dd62b2fda1905ed961ced779781c467ea6a241c0b3eee7ccea
2018-12-10,http://opendatacommunities.org/id/unitary-authority/hartlepool,BR7 - Close Farm Cottage,528946,442884,3.01,,,2017-12-17,,d60c28d4f0e547dd62b2fda1905ed961ced779781c467ea6a241c0b3eee7ccea
2018-12-10,http://opendatacommunities.org/id/unitary-authority/hartlepool,BR8 - Former Brierton Road Site,530464,449185,1.39,100.0,110.0,2017-12-17,,d60c28d4f0e547dd62b2fda1905ed961ced779781c467ea6a241c0b3eee7ccea
2018-12-10,http://opendatacommunities.org/id/unitary-authority/hartlepool,"BR9 - Former Fairground Site, Seaton Carew",529410,452707,0.49,15.0,30.0,2017-12-17,,d60c28d4f0e547dd62b2fda1905ed961ced779781c467ea6a241c0b3eee7ccea
2018-12-10,http://opendatacommunities.org/id/unitary-authority/hartlepool,BR10 - Former King Oswy Public House,535357,449431,0.25,,,2017-12-17,,d60c28d4f0e547dd62b2fda1905ed961ced779781c467ea6a241c0b3eee7ccea
2018-12-10,http://opendatacommunities.org/id/unitary-authority/hartlepool,BR11 - Former Mas Agraa Palace,532489,451351,0.45,6.0,9.0,2017-12-17,,d60c28d4f0e547dd62b2fda1905ed961ced779781c467ea6a241c0b3eee7ccea
2018-12-10,http://opendatacommunities.org/id/unitary-authority/hartlepool,BR12 - Garden Centre & Amenity Block,530642,450340,0.47,8.0,12.0,2017-12-17,,d60c28d4f0e547dd62b2fda1905ed961ced779781c467ea6a241c0b3eee7ccea
2018-12-10,http://opendatacommunities.org/id/unitary-authority/hartlepool,BR13 - Hartlepool Hospital,534507,449994,3.38,80.0,100.0,2017-12-17,,d60c28d4f0e547dd62b2fda1905ed961ced779781c467ea6a241c0b3eee7ccea
2018-12-10,http://opendatacommunities.org/id/unitary-authority/hartlepool,BR14 - Inspirations Coffee House,530634,450280,0.41,6.0,10.0,2017-12-17,,d60c28d4f0e547dd62b2fda1905ed961ced779781c467ea6a241c0b3eee7ccea
2018-12-10,http://opendatacommunities.org/id/unitary-authority/hartlepool,BR16 - Marina Slake Terrace_Blocks 28 32 31,532995,451743,0.4,,,2017-12-17,,d60c28d4f0e547dd62b2fda1905ed961ced779781c467ea6a241c0b3eee7ccea
2018-12-10,http://opendatacommunities.org/id/unitary-authority/hartlepool,BR17 - North Farm,532462,445703,0.73,,,2017-12-17,,d60c28d4f0e547dd62b2fda1905ed961ced779781c467ea6a241c0b3eee7ccea
2018-12-10,http://opendatacommunities.org/id/unitary-authority/hartlepool,BR18 - Oxford Road,531382,450616,0.74,15.0,25.0,2017-12-17,,d60c28d4f0e547dd62b2fda1905ed961ced779781c467ea6a241c0b3eee7ccea
2018-12-10,http://opendatacommunities.org/id/unitary-authority/hartlepool,BR20 - Seaton Coach Park,529351,452744,1.25,30.0,50.0,2017-12-17,,d60c28d4f0e547dd62b2fda1905ed961ced779781c467ea6a241c0b3eee7ccea
2018-12-10,http://opendatacommunities.org/id/unitary-authority/hartlepool,BR21 - South of Maritime Avenue,532266,451665,5.11,,,2017-12-17,,d60c28d4f0e547dd62b2fda1905ed961ced779781c467ea6a241c0b3eee7ccea
2018-12-10,http://opendatacommunities.org/id/unitary-authority/hartlepool,BR22 - Surtees Street,532487,451418,0.6,15.0,20.0,2017-12-17,,d60c28d4f0e547dd62b2fda1905ed961ced779781c467ea6a241c0b3eee7ccea
2018-12-10,http://opendatacommunities.org/id/unitary-authority/hartlepool,BR23 - The Woodcutter Pub,531052,449732,0.29,,,2017-12-17,,d60c28d4f0e547dd62b2fda1905ed961ced779781c467ea6a241c0b3eee7ccea
2018-12-10,http://opendatacommunities.org/id/unitary-authority/hartlepool,BR24 - Trincomalee Wharf,532973,451384,0.64,20.0,50.0,2017-12-17,,d60c28d4f0e547dd62b2fda1905ed961ced779781c467ea6a241c0b3eee7ccea
