entry-date,organisation,site,site-address,site-plan-url,deliverable,ownership,planning-permission-status,planning-permission-type,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,notes,resource
2017-12-18,local-authority-eng:NEC,AB17,"Former working men's club, New Road, Audley",https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NSLI1MBMGW500,yes,owned by a public authority,permissioned,full planning permission,,53.055588,-2.292382,0.33,12,12,2017-12-18,,15/0692/FUL. Erection of 12 houses,7c33c5477fe09f1182accd5996db0ad3303fd94fd7fcb5ce9b5647b3dc390c04
2017-12-18,local-authority-eng:NEC,BL24,"Land adjacent 31 Banbury Street, Talke",https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=MZJMHBBM4V000,yes,not owned by a public authority,permissioned,full planning permission,,53.084966,-2.258781,0.27,13,13,2017-12-18,,"14/00027/FUL. Erection of 13 new dwellings with associated access road, parking and landscaping",7c33c5477fe09f1182accd5996db0ad3303fd94fd7fcb5ce9b5647b3dc390c04
2017-12-18,local-authority-eng:NEC,BL25,"Methodist Church, Chapel Street, Butt Lane",https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=N3VI2EBM4V000,,not owned by a public authority,not permissioned,,,53.088142,-2.259612,0.1,10,10,2017-12-18,,Site lapsed residential planning permission 14/00266/FUL,7c33c5477fe09f1182accd5996db0ad3303fd94fd7fcb5ce9b5647b3dc390c04
2017-12-18,local-authority-eng:NEC,BL8,"Land to the south of West Avenue, Kidsgrove",https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NNMN7MBMN3F00,yes,not owned by a public authority,permissioned,outline planning permission,,53.086337,-2.265407,1.41,44,44,2017-12-18,,"15/00368/OUT. Outline planning application for residential development for 44 dwellings at West Avenue, Kidsgrove (Phase 4)",7c33c5477fe09f1182accd5996db0ad3303fd94fd7fcb5ce9b5647b3dc390c04
2017-12-18,local-authority-eng:NEC,CH4,"Wilmott Drive, Cross Heath, Newcastle-under-Lyme",https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=ONOB4WBMK6800,yes,not owned by a public authority,permissioned,other,,53.023674,-2.243963,8.7,276,276,2017-12-18,,"There is a resolution to grant planning permission 17/00281/FUL. Development of 276 dwellings, public open space and associated infrastructure works",7c33c5477fe09f1182accd5996db0ad3303fd94fd7fcb5ce9b5647b3dc390c04
2017-12-18,local-authority-eng:NEC,CT13,"Heathcote Street, Chesterton (Chesterton Ex-Servicemens Club)",https://www.newcastle-staffs.gov.uk/sites/default/files/IMCE/Planning/Planning_Policy/NonLocal/CT13.pdf,,not owned by a public authority,not permissioned,,,53.043756,-2.251107,0.1,5,5,2017-12-18,,Part of lapsed mixed use residential permission 07/00620/OUT,7c33c5477fe09f1182accd5996db0ad3303fd94fd7fcb5ce9b5647b3dc390c04
2017-12-18,local-authority-eng:NEC,CT22,Ex Servicemens Club Heathcote Street,https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OQ3EWWBMH0G00,,not owned by a public authority,permissioned,full planning permission,,53.043873,-2.250515,0.31,14,14,2017-12-18,,17/00417/FUL. Proposed residential development of 14 dwellings,7c33c5477fe09f1182accd5996db0ad3303fd94fd7fcb5ce9b5647b3dc390c04
2017-12-18,local-authority-eng:NEC,CT23,"Corona Park, Sandford Street, Chesterton",https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=L7AIQNBM4V000,yes,not owned by a public authority,permissioned,full planning permission,,53.043168,-2.250297,0.3,8,8,2017-12-18,,10/00480/FUL - Development commenced 8 completed.. Erection of 16 terraced dwellings (Amended Description),7c33c5477fe09f1182accd5996db0ad3303fd94fd7fcb5ce9b5647b3dc390c04
2017-12-18,local-authority-eng:NEC,HD18,"London Road, Chesterton (Bennett Arms)",https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=KGT5XUBM06A00,,not owned by a public authority,not permissioned,,,53.033535,-2.241555,0.15,7,7,2017-12-18,,09/00155/FUL  - lapsed permisison for 7 dwellings,7c33c5477fe09f1182accd5996db0ad3303fd94fd7fcb5ce9b5647b3dc390c04
2017-12-18,local-authority-eng:NEC,HD25,"Midland House, London Road, Chesterton",https://publicaccess.newcastle-staffs.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OAVL23BMIW400,yes,not owned by a public authority,permissioned,reserved matters approval,,53.037825,-2.248573,0.16,14,14,2017-12-18,,16/00623/REM. Application for approval of the reserved matter of landscaping pursuant to outline planning permission granted on appeal 10th September 2013 for demolition of existing industrial building and erection of 14 dwellings and retail/commercial units,7c33c5477fe09f1182accd5996db0ad3303fd94fd7fcb5ce9b5647b3dc390c04
