entry-date,organisation,site,site-address,site-plan-url,deliverable,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
2017-12-15,local-authority-eng:WAE,10a,"Dunsfold Aerodrome, Stovolds Hill, Cranleigh",http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,yes,,51.116287,-0.535655,214,2600,2600,2017-12-15,,7a83edd03eca64a038ed4ee8ad0d958efc1aeb29769f61bdd05c81de012a291d
2017-12-15,local-authority-eng:WAE,130,"Cranleigh C of E Primary School (Infant), Church Lane, Cranleigh",http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,,,51.142543,-0.485138,0.61,20,20,2017-12-15,,7a83edd03eca64a038ed4ee8ad0d958efc1aeb29769f61bdd05c81de012a291d
2017-12-15,local-authority-eng:WAE,132a,"Coal Yard, 6 The Street, Wrecclesham, Farnham",http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,yes,,51.199572,-0.818791,0.27,,,2017-12-15,,7a83edd03eca64a038ed4ee8ad0d958efc1aeb29769f61bdd05c81de012a291d
2017-12-15,local-authority-eng:WAE,133a,"Colemans Yard, Wrecclesham Road, Farnham",http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,yes,,51.199891,-0.816597,0.24,10,10,2017-12-15,,7a83edd03eca64a038ed4ee8ad0d958efc1aeb29769f61bdd05c81de012a291d
2017-12-15,local-authority-eng:WAE,144,"Central Hindhead, London Road, Hindhead",http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,yes,,51.114454,-0.731214,1.64,30,30,2017-12-15,,7a83edd03eca64a038ed4ee8ad0d958efc1aeb29769f61bdd05c81de012a291d
2017-12-15,local-authority-eng:WAE,16a,"Former Weyburn Bartel Works, Shackleford Road, Elstead",http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,yes,,51.185415,-0.684742,3.6,,,2017-12-15,,7a83edd03eca64a038ed4ee8ad0d958efc1aeb29769f61bdd05c81de012a291d
2017-12-15,local-authority-eng:WAE,245,"Site of 5 to 21 Wey Hill, Haslemere",http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,yes,,51.087916,-0.723759,0.31,39,39,2017-12-15,,7a83edd03eca64a038ed4ee8ad0d958efc1aeb29769f61bdd05c81de012a291d
2017-12-15,local-authority-eng:WAE,264,"Victoria House, South Street Farnham",http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,yes,,51.214078,-0.796,0.06,8,8,2017-12-15,,7a83edd03eca64a038ed4ee8ad0d958efc1aeb29769f61bdd05c81de012a291d
2017-12-15,local-authority-eng:WAE,368,"Wheeler Street Nurseries, Wheeler Lane, Witley, Godalming",http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,,,51.157427,-0.649866,0.71,10,15,2017-12-15,,7a83edd03eca64a038ed4ee8ad0d958efc1aeb29769f61bdd05c81de012a291d
2017-12-15,local-authority-eng:WAE,383a,"Cranleigh C of E Primary School (Junior), Parsonage Road, Cranleigh",http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,,,51.142425,-0.488259,1.98,70,70,2017-12-15,,7a83edd03eca64a038ed4ee8ad0d958efc1aeb29769f61bdd05c81de012a291d
2017-12-15,local-authority-eng:WAE,472a,"Alfold Garden Centre, Horsham Road, Alfold, Cranleigh",http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,yes,,51.104969,-0.51119,1.19,10,10,2017-12-15,,7a83edd03eca64a038ed4ee8ad0d958efc1aeb29769f61bdd05c81de012a291d
2017-12-15,local-authority-eng:WAE,478a,"Part of SSE Farnham Depot, Lower Weybourne Lane, Farnham",http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,,,51.23189,-0.771015,1.79,52,52,2017-12-15,,7a83edd03eca64a038ed4ee8ad0d958efc1aeb29769f61bdd05c81de012a291d
2017-12-15,local-authority-eng:WAE,495,"Former Haslemere Police Station, 46 West Street, Haslemere",http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,yes,,51.089421,-0.710825,0.21,,,2017-12-15,,7a83edd03eca64a038ed4ee8ad0d958efc1aeb29769f61bdd05c81de012a291d
2017-12-15,local-authority-eng:WAE,556a,"Guildford Road Service Station, 13 Guildford Road, Farnham",http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,yes,,51.219084,-0.786607,0.19,5,10,2017-12-15,,7a83edd03eca64a038ed4ee8ad0d958efc1aeb29769f61bdd05c81de012a291d
2017-12-15,local-authority-eng:WAE,619a,"Land At Farnham College, Morley Road, Farnham",http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,yes,,51.207893,-0.794625,0.47,,,2017-12-15,,7a83edd03eca64a038ed4ee8ad0d958efc1aeb29769f61bdd05c81de012a291d
2017-12-15,local-authority-eng:WAE,648a,"Woodside Park, Catteshall Lane, Godalming",http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,yes,,51.185914,-0.600223,1.67,,,2017-12-15,,7a83edd03eca64a038ed4ee8ad0d958efc1aeb29769f61bdd05c81de012a291d
2017-12-15,local-authority-eng:WAE,670,"The Woolmead, Farnham",http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,yes,,51.216982,-0.797305,0.66,,,2017-12-15,,7a83edd03eca64a038ed4ee8ad0d958efc1aeb29769f61bdd05c81de012a291d
2017-12-15,local-authority-eng:WAE,676,"Land south of Franklin Court, Brook Road, Wormley, Witley",http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,yes,,51.135686,-0.647867,0.34,5,6,2017-12-15,,7a83edd03eca64a038ed4ee8ad0d958efc1aeb29769f61bdd05c81de012a291d
2017-12-15,local-authority-eng:WAE,687,"Alfold Farm, Loxwood Road, Alfold",http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,yes,,50.011853,-0.549112,0.52,,,2017-12-15,,7a83edd03eca64a038ed4ee8ad0d958efc1aeb29769f61bdd05c81de012a291d
2017-12-15,local-authority-eng:WAE,697,"Land at Wey Hill, Haslemere",http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,yes,,51.088813,-0.724073,0.98,31,31,2017-12-15,,7a83edd03eca64a038ed4ee8ad0d958efc1aeb29769f61bdd05c81de012a291d
2017-12-15,local-authority-eng:WAE,699a,"Ockford Ridge, Godalming",http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,yes,,51.17897,-0.629249,3.11,,,2017-12-15,,7a83edd03eca64a038ed4ee8ad0d958efc1aeb29769f61bdd05c81de012a291d
2017-12-15,local-authority-eng:WAE,770,"19 Knowle Farm, Old Park Lane, Farnham",http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,yes,,51.224919,-0.811059,0.91,,,2017-12-15,,7a83edd03eca64a038ed4ee8ad0d958efc1aeb29769f61bdd05c81de012a291d
2017-12-15,local-authority-eng:WAE,862,"Land at Harts Yard, 114-115 West Street, Farnham",http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,yes,,51.214943,-0.800714,0.19,,,2017-12-15,,7a83edd03eca64a038ed4ee8ad0d958efc1aeb29769f61bdd05c81de012a291d
2017-12-15,local-authority-eng:WAE,878a,"White Lion Public House, Portsmouth Road, Milford",http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,yes,,51.141124,-4.941685,0.23,,,2017-12-15,,7a83edd03eca64a038ed4ee8ad0d958efc1aeb29769f61bdd05c81de012a291d
2017-12-15,local-authority-eng:WAE,882,"2-3 The Borough, Farnham",http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,yes,,51.214957,-0.799974,0.12,,,2017-12-15,,7a83edd03eca64a038ed4ee8ad0d958efc1aeb29769f61bdd05c81de012a291d
2017-12-15,local-authority-eng:WAE,891,"74-84 East Street, Farnham",http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,yes,,51.217661,-0.794699,0.29,,,2017-12-15,,7a83edd03eca64a038ed4ee8ad0d958efc1aeb29769f61bdd05c81de012a291d
2017-12-15,local-authority-eng:WAE,9,"Hewitts Industrial Estate, Elmbridge Road, Cranleigh",http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,yes,,51.142215,-0.503843,3.05,,,2017-12-15,,7a83edd03eca64a038ed4ee8ad0d958efc1aeb29769f61bdd05c81de012a291d
2017-12-15,local-authority-eng:WAE,908,"Hambledon House Farm Buildings, Vann Lane, Hambledon",http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,yes,,51.134868,-0.620245,0.23,,,2017-12-15,,7a83edd03eca64a038ed4ee8ad0d958efc1aeb29769f61bdd05c81de012a291d
2017-12-15,local-authority-eng:WAE,915,"Catteshall Manor, Catteshall Lane, Godalming",http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,yes,,51.186277,-0.590803,0.05,,,2017-12-15,,7a83edd03eca64a038ed4ee8ad0d958efc1aeb29769f61bdd05c81de012a291d
2017-12-15,local-authority-eng:WAE,928,"The Courtyard, Eastwood Road, Bramely",http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,yes,,51.197121,-0.554767,0.1,,,2017-12-15,,7a83edd03eca64a038ed4ee8ad0d958efc1aeb29769f61bdd05c81de012a291d
2017-12-15,local-authority-eng:WAE,978,"Standard House, Weyside Park, Godalming",http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,yes,,51.188029,-0.597398,0.1,26,33,2017-12-15,,7a83edd03eca64a038ed4ee8ad0d958efc1aeb29769f61bdd05c81de012a291d
2017-12-15,local-authority-eng:WAE,995,"Branksome House, Filmer Grove, Godalming",http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,yes,,51.191441,-0.610695,0.32,11,11,2017-12-15,,7a83edd03eca64a038ed4ee8ad0d958efc1aeb29769f61bdd05c81de012a291d
2017-12-15,local-authority-eng:WAE,B1,"Bunbury House, Church Lane, Cranleigh",http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,yes,,51.141452,-0.485882,0.55,,,2017-12-15,,7a83edd03eca64a038ed4ee8ad0d958efc1aeb29769f61bdd05c81de012a291d
2017-12-15,local-authority-eng:WAE,B2,"The Freeholders, St Johns Street, Farncombe, Godalming",http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,yes,,51.194223,-0.603957,0.4,,,2017-12-15,,7a83edd03eca64a038ed4ee8ad0d958efc1aeb29769f61bdd05c81de012a291d
2017-12-15,local-authority-eng:WAE,B3,"24 Brighton Road, Godalming",http://85.92.197.215/ishare5.4.web/atsolomap_brownfieldreg.html,yes,,51.184033,-0.609556,0.16,13,14,2017-12-15,,7a83edd03eca64a038ed4ee8ad0d958efc1aeb29769f61bdd05c81de012a291d
