entry-date,organisation,site,latitude,longitude,hectares,start-date,end-date,resource
2019-12-10,http://opendatacommunities.org/id/district-council/epsom-and-ewell,194,522541,162140,0.19,2017-11-09,,7054465d8c8c10a3d45508912b91518e9635f1165be87050db8efbb9d77eb444
2019-12-10,http://opendatacommunities.org/id/district-council/epsom-and-ewell,535,521185,160650,0.37,2019-11-12,,7054465d8c8c10a3d45508912b91518e9635f1165be87050db8efbb9d77eb444
2019-12-10,http://opendatacommunities.org/id/district-council/epsom-and-ewell,565,519159,160088,0.32,2019-12-04,,7054465d8c8c10a3d45508912b91518e9635f1165be87050db8efbb9d77eb444
2019-12-10,http://opendatacommunities.org/id/district-council/epsom-and-ewell,893,521203,165036,0.27,2019-11-06,,7054465d8c8c10a3d45508912b91518e9635f1165be87050db8efbb9d77eb444
2019-12-10,http://opendatacommunities.org/id/district-council/epsom-and-ewell,1317,520924,160859,0.3,2019-12-11,,7054465d8c8c10a3d45508912b91518e9635f1165be87050db8efbb9d77eb444
2019-12-10,http://opendatacommunities.org/id/district-council/epsom-and-ewell,329,521457,161331,0.14,2017-11-13,2019-12-10,7054465d8c8c10a3d45508912b91518e9635f1165be87050db8efbb9d77eb444
2019-12-10,http://opendatacommunities.org/id/district-council/epsom-and-ewell,600,521751,163218,0.55,2018-12-04,2019-09-17,7054465d8c8c10a3d45508912b91518e9635f1165be87050db8efbb9d77eb444
2019-12-10,http://opendatacommunities.org/id/district-council/epsom-and-ewell,602,521418,161335,0.05,2018-12-04,2019-01-29,7054465d8c8c10a3d45508912b91518e9635f1165be87050db8efbb9d77eb444
2019-12-10,http://opendatacommunities.org/id/district-council/epsom-and-ewell,20,521113,160788,0.23,2017-11-28,2019-12-10,7054465d8c8c10a3d45508912b91518e9635f1165be87050db8efbb9d77eb444
2019-12-10,http://opendatacommunities.org/id/district-council/epsom-and-ewell,21,521544,161111,0.46,2017-11-08,2019-12-10,7054465d8c8c10a3d45508912b91518e9635f1165be87050db8efbb9d77eb444
2019-12-10,http://opendatacommunities.org/id/district-council/epsom-and-ewell,148,521237,160696,0.14,2017-11-15,2019-12-10,7054465d8c8c10a3d45508912b91518e9635f1165be87050db8efbb9d77eb444
2019-12-10,http://opendatacommunities.org/id/district-council/epsom-and-ewell,601,520848,160765,0.18,2018-12-04,2019-12-10,7054465d8c8c10a3d45508912b91518e9635f1165be87050db8efbb9d77eb444
2019-12-10,http://opendatacommunities.org/id/district-council/epsom-and-ewell,603,520878,161452,0.07,2018-12-04,2019-12-10,7054465d8c8c10a3d45508912b91518e9635f1165be87050db8efbb9d77eb444
