entry-date,organisation,site,site-plan-url,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
2016-07-08,local-authority-eng:ROS,ROSBS001,,53.652819,-2.17635,1.53,,,2016-06-17,,6feacf958788c876313dbcc4d6b570a4e56747e5dfc4deab54a78e92ca970799
2016-07-08,local-authority-eng:ROS,ROSBS002,,53.694168,-2.251179,0.4,,,2016-06-17,,6feacf958788c876313dbcc4d6b570a4e56747e5dfc4deab54a78e92ca970799
2016-07-08,local-authority-eng:ROS,ROSBS003,,53.67122,-2.305961,0.21,,,2016-06-17,,6feacf958788c876313dbcc4d6b570a4e56747e5dfc4deab54a78e92ca970799
2016-07-08,local-authority-eng:ROS,ROSBS004,,53.70101,-2.274792,0.72,,,2016-06-17,,6feacf958788c876313dbcc4d6b570a4e56747e5dfc4deab54a78e92ca970799
2016-07-08,local-authority-eng:ROS,ROSBS005,,53.693094,-2.210749,0.19,,,2016-06-17,,6feacf958788c876313dbcc4d6b570a4e56747e5dfc4deab54a78e92ca970799
2016-07-08,local-authority-eng:ROS,ROSBS006,,53.706652,-2.195352,0.11,,,2016-06-17,,6feacf958788c876313dbcc4d6b570a4e56747e5dfc4deab54a78e92ca970799
2016-07-08,local-authority-eng:ROS,ROSBS007,,53.704355,-2.196131,0.5,,,2016-06-17,,6feacf958788c876313dbcc4d6b570a4e56747e5dfc4deab54a78e92ca970799
2016-07-08,local-authority-eng:ROS,ROSBS008,,53.695105,-2.342265,0.25,,,2016-06-17,,6feacf958788c876313dbcc4d6b570a4e56747e5dfc4deab54a78e92ca970799
2016-07-08,local-authority-eng:ROS,ROSBS009,,53.692298,-2.231968,0.14,,,2016-06-17,,6feacf958788c876313dbcc4d6b570a4e56747e5dfc4deab54a78e92ca970799
2016-07-08,local-authority-eng:ROS,ROSBS010,,53.703122,-2.199426,0.05,,,2016-06-17,,6feacf958788c876313dbcc4d6b570a4e56747e5dfc4deab54a78e92ca970799
2016-07-08,local-authority-eng:ROS,ROSBS011,,53.691377,-2.224314,0.04,,,2016-06-17,,6feacf958788c876313dbcc4d6b570a4e56747e5dfc4deab54a78e92ca970799
2016-07-08,local-authority-eng:ROS,ROSBS012,,53.706205,-2.324634,0.05,,,2016-06-17,,6feacf958788c876313dbcc4d6b570a4e56747e5dfc4deab54a78e92ca970799
2016-07-08,local-authority-eng:ROS,ROSBS013,,53.739938,-2.286121,0.44,,,2016-06-17,,6feacf958788c876313dbcc4d6b570a4e56747e5dfc4deab54a78e92ca970799
2016-07-08,local-authority-eng:ROS,ROSBS014,,53.649828,-2.185751,1.56,,,2016-06-17,,6feacf958788c876313dbcc4d6b570a4e56747e5dfc4deab54a78e92ca970799
2016-07-08,local-authority-eng:ROS,ROSBS015,,53.691938,-2.183293,0.23,,,2016-06-17,,6feacf958788c876313dbcc4d6b570a4e56747e5dfc4deab54a78e92ca970799
2016-07-08,local-authority-eng:ROS,ROSBS016,,53.680944,-2.243312,1.68,,,2016-06-17,,6feacf958788c876313dbcc4d6b570a4e56747e5dfc4deab54a78e92ca970799
2016-07-08,local-authority-eng:ROS,ROSBS017,,53.690851,-2.238046,1.48,,,2016-06-21,,6feacf958788c876313dbcc4d6b570a4e56747e5dfc4deab54a78e92ca970799
2016-07-08,local-authority-eng:ROS,ROSBS018,,53.703646,-2.199348,0.2,,,2016-06-21,,6feacf958788c876313dbcc4d6b570a4e56747e5dfc4deab54a78e92ca970799
2016-07-08,local-authority-eng:ROS,ROSBS019,,53.702355,-2.322781,0.12,,,2016-06-21,,6feacf958788c876313dbcc4d6b570a4e56747e5dfc4deab54a78e92ca970799
2016-07-08,local-authority-eng:ROS,ROSBS020,,53.691635,-2.18138,0.07,,,2016-06-28,,6feacf958788c876313dbcc4d6b570a4e56747e5dfc4deab54a78e92ca970799
