entry-date,organisation,site,site-plan-url,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
2019-07-16,local-authority-eng:TEW,TBC-BR7,https://tewkesburyborough-my.sharepoint.com/:b:/g/personal/website_tewkesburyborough_onmicrosoft_com/Ee5kR70ErPVDodF3DbcAP5wB0QWM2r1Qrc9oj8GWxsGiCA?e=mMVOZt,51.852,-2.306,0.19,,,2017-12-21,,7a75541c2974d75ea8a62c3a5e13677de5800a80bce4036eead046d34b3785ab
2019-07-16,local-authority-eng:TEW,TBC-BR12,https://tewkesburyborough-my.sharepoint.com/:b:/g/personal/website_tewkesburyborough_onmicrosoft_com/EVUvE8HaVw9Fo2wS36AvrsYBCBFCTeDh5rPg1KZCnjRu3A?e=bziLCb,51.99,-2.15,0.2,,,2017-12-21,,7a75541c2974d75ea8a62c3a5e13677de5800a80bce4036eead046d34b3785ab
2019-07-16,local-authority-eng:TEW,TBC-BR15,https://tewkesburyborough-my.sharepoint.com/:b:/g/personal/website_tewkesburyborough_onmicrosoft_com/EblZ4reXiwFEtNpoSoElZVQBypM1B1uuA6yiuyxY2z0UeA?e=B5B9jX,51.99,-2.14,0.9,,,2017-12-21,,7a75541c2974d75ea8a62c3a5e13677de5800a80bce4036eead046d34b3785ab
2019-07-16,local-authority-eng:TEW,TBC-BR16,https://tewkesburyborough-my.sharepoint.com/:b:/g/personal/website_tewkesburyborough_onmicrosoft_com/ESWDTZNLVeFMjjVb82yPtU4BdwroO6yiS1Yl3DSfyJZWfA?e=fPMjI4,51.93,-2.15,1.25,,,2017-12-21,,7a75541c2974d75ea8a62c3a5e13677de5800a80bce4036eead046d34b3785ab
2019-07-16,local-authority-eng:TEW,TBC-BR17,https://tewkesburyborough-my.sharepoint.com/:b:/g/personal/website_tewkesburyborough_onmicrosoft_com/EejRAjAHn_VNrN-1DvyRoZYBD_AnufxP7nRahdA6otHzTw?e=GsJ9SG,51.99,-2.1,0.49,,,2019-07-16,,7a75541c2974d75ea8a62c3a5e13677de5800a80bce4036eead046d34b3785ab
2019-07-16,local-authority-eng:TEW,TBC-BR18,https://tewkesburyborough-my.sharepoint.com/:b:/g/personal/website_tewkesburyborough_onmicrosoft_com/EZkEmn5gTPFIhwXTxOMLSCQBMIijIOFsryZ6YdyunD5TMg?e=EUWYcr,51.94,-2.06,1.27,,,2019-07-16,,7a75541c2974d75ea8a62c3a5e13677de5800a80bce4036eead046d34b3785ab
2019-07-16,local-authority-eng:TEW,TBC-BR19,https://tewkesburyborough-my.sharepoint.com/:b:/g/personal/website_tewkesburyborough_onmicrosoft_com/ESoCM_cWfkFMmILgVlYV2hcBzQ533mhVb7CTxFTt5oK2Fg?e=xfWQFF,51.86,-2.11,0.24,,,2019-07-16,,7a75541c2974d75ea8a62c3a5e13677de5800a80bce4036eead046d34b3785ab
2019-07-16,local-authority-eng:TEW,TBC-BR20,https://tewkesburyborough-my.sharepoint.com/:b:/g/personal/website_tewkesburyborough_onmicrosoft_com/EekslyHI7k5MiEzQ5QGsgBABFn_8hFSfeIrCyD3-O3qf9w?e=io469o,51.85,-2.3,0.42,,,2019-07-16,,7a75541c2974d75ea8a62c3a5e13677de5800a80bce4036eead046d34b3785ab
2019-07-16,local-authority-eng:TEW,TBC-BR21,https://tewkesburyborough-my.sharepoint.com/:b:/g/personal/website_tewkesburyborough_onmicrosoft_com/ES_8WRf7ymJKsEPUqWCZLmcBhULHfpXjrG2VP5kwnlZQxQ?e=jPjgjw,51.91,-2.03,0.85,,,2019-07-16,,7a75541c2974d75ea8a62c3a5e13677de5800a80bce4036eead046d34b3785ab
2019-07-16,local-authority-eng:TEW,TBC-BR22,https://tewkesburyborough-my.sharepoint.com/:b:/g/personal/website_tewkesburyborough_onmicrosoft_com/EW2paVERWTpBryMkSxT1v_cBZ-hhPncIL66eNRB0ivkvCg?e=OF9Y3C,51.95,-2.06,0.29,,,2019-07-16,,7a75541c2974d75ea8a62c3a5e13677de5800a80bce4036eead046d34b3785ab
2019-07-16,local-authority-eng:TEW,TBC-BR23,https://tewkesburyborough-my.sharepoint.com/:b:/g/personal/website_tewkesburyborough_onmicrosoft_com/Ea-GOHXQ93BMpLtr2z1q9c8BhaRd2KzjCdlCqyFmohD_CA?e=CSOV9R,51.95,-1.97,0.16,,,2019-07-16,,7a75541c2974d75ea8a62c3a5e13677de5800a80bce4036eead046d34b3785ab
2019-07-16,local-authority-eng:TEW,TBC-BR24,https://tewkesburyborough-my.sharepoint.com/:b:/g/personal/website_tewkesburyborough_onmicrosoft_com/ERdHfk1x3IRHsDEUdV_1lg4BVDRVnTqjYDpoqyfgcTUSRg?e=4nStqG,51.96,-2.05,0.45,,,2019-07-16,,7a75541c2974d75ea8a62c3a5e13677de5800a80bce4036eead046d34b3785ab
2019-07-16,local-authority-eng:TEW,TBC-BR25,https://tewkesburyborough-my.sharepoint.com/:b:/g/personal/website_tewkesburyborough_onmicrosoft_com/EfMEPIj6phJGqO6f0smauZoBSaM40NhwuTP4ojLfFg-I6w?e=oemE4j,51.91,-2.14,0.24,,,2019-07-16,,7a75541c2974d75ea8a62c3a5e13677de5800a80bce4036eead046d34b3785ab
2019-07-16,local-authority-eng:TEW,TBC-BR26,https://tewkesburyborough-my.sharepoint.com/:b:/g/personal/website_tewkesburyborough_onmicrosoft_com/ERFvBkWw0CFMljbH8znyEwoBUsaiuOHcHz1rpmgTaiz3VQ?e=1wQsao,51.94,-2.16,0.05,,,2019-07-16,,7a75541c2974d75ea8a62c3a5e13677de5800a80bce4036eead046d34b3785ab
2019-07-16,local-authority-eng:TEW,TBC-BR27,https://tewkesburyborough-my.sharepoint.com/:b:/g/personal/website_tewkesburyborough_onmicrosoft_com/Edq6Tpc33FVFptNzC9hr1_kBlBXdLhvWPwC_cU9MOlRupA?e=dg3jab,51.87,-2.19,2.11,,,2019-07-16,,7a75541c2974d75ea8a62c3a5e13677de5800a80bce4036eead046d34b3785ab
