entry-date,organisation,site,site-address,site-plan-url,deliverable,hazardous-substances,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
,local-authority-eng:BRM,BBLR1,"The Council House, Burcot Lane, Bromsgrove",,yes,,52.341037,-2.018215,1.213,,,,,964617aa91b0152ff3e8a90e896df6b4ebc95c4add8a5f7bbcccc4151109d360
,local-authority-eng:BRM,BBLR2,"The Birches, New Road, Bromsgrove, B60 2LB",,yes,,52.326554,-2.050915,0.32,,,,,964617aa91b0152ff3e8a90e896df6b4ebc95c4add8a5f7bbcccc4151109d360
,local-authority-eng:BRM,BBLR3,"Polymer Latex, Stoke Prior, Bromsgrove",,yes,,52.494147,-2.081672,8.5,,,,,964617aa91b0152ff3e8a90e896df6b4ebc95c4add8a5f7bbcccc4151109d360
,local-authority-eng:BRM,BBLR4,"7&9 Worcester Road, Bromsgrove",,yes,,50.238691,-3.687253,0.239,,,,,964617aa91b0152ff3e8a90e896df6b4ebc95c4add8a5f7bbcccc4151109d360
,local-authority-eng:BRM,BBLR5,"Land Adjacent To 145, Perryfields Road Bromsgrove",,yes,,52.345322,-2.073191,0.27,,,,,964617aa91b0152ff3e8a90e896df6b4ebc95c4add8a5f7bbcccc4151109d360
,local-authority-eng:BRM,BBLR6,"The Greyhound, 30 Rock Hill, Bromsgrove, B61 7LR",,yes,,52.325832,-2.072674,0.28,,,,,964617aa91b0152ff3e8a90e896df6b4ebc95c4add8a5f7bbcccc4151109d360
,local-authority-eng:BRM,BBLR7,"50, 52 & 54 Rear of Red Lion Street, Alvechurch",,yes,,52.353628,-1.96121,0.25,,,,,964617aa91b0152ff3e8a90e896df6b4ebc95c4add8a5f7bbcccc4151109d360
,local-authority-eng:BRM,BBLR8,"The Retreat, Curr Lane, Upper Bentley, Worcestershire",,yes,,52.304799,-1.995702,0.81,,,,,964617aa91b0152ff3e8a90e896df6b4ebc95c4add8a5f7bbcccc4151109d360
,local-authority-eng:BRM,BBLR9,"Finstall Training Centre, Stoke Road, Bromsgrove",,yes,,52.32195,-2.051541,0.48,,,,,964617aa91b0152ff3e8a90e896df6b4ebc95c4add8a5f7bbcccc4151109d360
,local-authority-eng:BRM,BBLR10,"3-5 High Street, Bromsgrove",,yes,,52.333884,-2.062532,5.87,,,,,964617aa91b0152ff3e8a90e896df6b4ebc95c4add8a5f7bbcccc4151109d360
