entry-date,organisation,site,site-plan-url,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
,local-authority-eng:BRM,BBLR1,,52.341037,-2.018215,1.213,,,,,964617aa91b0152ff3e8a90e896df6b4ebc95c4add8a5f7bbcccc4151109d360
,local-authority-eng:BRM,BBLR2,,52.326554,-2.050915,0.32,,,,,964617aa91b0152ff3e8a90e896df6b4ebc95c4add8a5f7bbcccc4151109d360
,local-authority-eng:BRM,BBLR3,,52.494147,-2.081672,8.5,,,,,964617aa91b0152ff3e8a90e896df6b4ebc95c4add8a5f7bbcccc4151109d360
,local-authority-eng:BRM,BBLR4,,50.238691,-3.687253,0.239,,,,,964617aa91b0152ff3e8a90e896df6b4ebc95c4add8a5f7bbcccc4151109d360
,local-authority-eng:BRM,BBLR5,,52.345322,-2.073191,0.27,,,,,964617aa91b0152ff3e8a90e896df6b4ebc95c4add8a5f7bbcccc4151109d360
,local-authority-eng:BRM,BBLR6,,52.325832,-2.072674,0.28,,,,,964617aa91b0152ff3e8a90e896df6b4ebc95c4add8a5f7bbcccc4151109d360
,local-authority-eng:BRM,BBLR7,,52.353628,-1.96121,0.25,,,,,964617aa91b0152ff3e8a90e896df6b4ebc95c4add8a5f7bbcccc4151109d360
,local-authority-eng:BRM,BBLR8,,52.304799,-1.995702,0.81,,,,,964617aa91b0152ff3e8a90e896df6b4ebc95c4add8a5f7bbcccc4151109d360
,local-authority-eng:BRM,BBLR9,,52.32195,-2.051541,0.48,,,,,964617aa91b0152ff3e8a90e896df6b4ebc95c4add8a5f7bbcccc4151109d360
,local-authority-eng:BRM,BBLR10,,52.333884,-2.062532,5.87,,,,,964617aa91b0152ff3e8a90e896df6b4ebc95c4add8a5f7bbcccc4151109d360
