entry-date,organisation,site,site-plan-url,latitude,longitude,hectares,minimum-net-dwellings,maximum-net-dwellings,start-date,end-date,resource
2017-11-15,local-authority-eng:STA,"128 North Walls, Stafford",http://www.staffordbc.gov.uk/live/Documents/Planning%20Policy/Brownfield%20Land%20Register/Brownfield-Land-Register-Site-Plans.pdf,,,0.02,,,2017-11-15,,61239efef1dba3bb2d89a7a4f6e1260c13a7b12cdd9804243e04de18e272ca7a
2017-11-15,local-authority-eng:STA,"36 Rowley Street, Stafford",http://www.staffordbc.gov.uk/live/Documents/Planning%20Policy/Brownfield%20Land%20Register/Brownfield-Land-Register-Site-Plans.pdf,,,0.03,,,2017-11-15,,61239efef1dba3bb2d89a7a4f6e1260c13a7b12cdd9804243e04de18e272ca7a
2017-11-15,local-authority-eng:STA,"69-70 Foregate Street, Stafford",http://www.staffordbc.gov.uk/live/Documents/Planning%20Policy/Brownfield%20Land%20Register/Brownfield-Land-Register-Site-Plans.pdf,,,0.13,,,2017-11-15,,61239efef1dba3bb2d89a7a4f6e1260c13a7b12cdd9804243e04de18e272ca7a
2017-11-15,local-authority-eng:STA,"Areva Fairway, Stafford",http://www.staffordbc.gov.uk/live/Documents/Planning%20Policy/Brownfield%20Land%20Register/Brownfield-Land-Register-Site-Plans.pdf,,,7.52,,,2017-11-15,,61239efef1dba3bb2d89a7a4f6e1260c13a7b12cdd9804243e04de18e272ca7a
2017-11-15,local-authority-eng:STA,"CC4 Greengate Street, Stafford",http://www.staffordbc.gov.uk/live/Documents/Planning%20Policy/Brownfield%20Land%20Register/Brownfield-Land-Register-Site-Plans.pdf,,,0.03,,,2017-11-15,,61239efef1dba3bb2d89a7a4f6e1260c13a7b12cdd9804243e04de18e272ca7a
2017-11-15,local-authority-eng:STA,"Former Castleworks , Castle Street, Stafford",http://www.staffordbc.gov.uk/live/Documents/Planning%20Policy/Brownfield%20Land%20Register/Brownfield-Land-Register-Site-Plans.pdf,,,3.77,,,2017-11-15,,61239efef1dba3bb2d89a7a4f6e1260c13a7b12cdd9804243e04de18e272ca7a
2017-11-15,local-authority-eng:STA,"Land adjacent to Yew Tree House, Egg Lane, Hixon",http://www.staffordbc.gov.uk/live/Documents/Planning%20Policy/Brownfield%20Land%20Register/Brownfield-Land-Register-Site-Plans.pdf,,,0.16,,,2017-11-15,,61239efef1dba3bb2d89a7a4f6e1260c13a7b12cdd9804243e04de18e272ca7a
2017-11-15,local-authority-eng:STA,"Land at Elms Business Centre Phase 2, Main Road, Great Haywood",http://www.staffordbc.gov.uk/live/Documents/Planning%20Policy/Brownfield%20Land%20Register/Brownfield-Land-Register-Site-Plans.pdf,,,0.2,,,2017-11-15,,61239efef1dba3bb2d89a7a4f6e1260c13a7b12cdd9804243e04de18e272ca7a
2017-11-15,local-authority-eng:STA,"Land at Elms Business Centre, Main Road, Great Haywood",http://www.staffordbc.gov.uk/live/Documents/Planning%20Policy/Brownfield%20Land%20Register/Brownfield-Land-Register-Site-Plans.pdf,,,0.33,,,2017-11-15,,61239efef1dba3bb2d89a7a4f6e1260c13a7b12cdd9804243e04de18e272ca7a
2017-11-15,local-authority-eng:STA,"Land at Former Carers Centre, Austin Friars, Stafford",http://www.staffordbc.gov.uk/live/Documents/Planning%20Policy/Brownfield%20Land%20Register/Brownfield-Land-Register-Site-Plans.pdf,,,0.08,,,2017-11-15,,61239efef1dba3bb2d89a7a4f6e1260c13a7b12cdd9804243e04de18e272ca7a
2017-11-15,local-authority-eng:STA,"Land at George Street Press and Car Park, Fancy Walk, Stafford",http://www.staffordbc.gov.uk/live/Documents/Planning%20Policy/Brownfield%20Land%20Register/Brownfield-Land-Register-Site-Plans.pdf,,,0.18,,,2017-11-15,,61239efef1dba3bb2d89a7a4f6e1260c13a7b12cdd9804243e04de18e272ca7a
2017-11-15,local-authority-eng:STA,"Land at Rock House Drive, Barlaston",http://www.staffordbc.gov.uk/live/Documents/Planning%20Policy/Brownfield%20Land%20Register/Brownfield-Land-Register-Site-Plans.pdf,,,0.35,,,2017-11-15,,61239efef1dba3bb2d89a7a4f6e1260c13a7b12cdd9804243e04de18e272ca7a
2017-11-15,local-authority-eng:STA,"Land at Silkmore Lane, Stafford",http://www.staffordbc.gov.uk/live/Documents/Planning%20Policy/Brownfield%20Land%20Register/Brownfield-Land-Register-Site-Plans.pdf,,,0.5,,,2017-11-15,,61239efef1dba3bb2d89a7a4f6e1260c13a7b12cdd9804243e04de18e272ca7a
2017-11-15,local-authority-eng:STA,"Land at Walton Garage Car Park, Milford Road",http://www.staffordbc.gov.uk/live/Documents/Planning%20Policy/Brownfield%20Land%20Register/Brownfield-Land-Register-Site-Plans.pdf,,,0.34,,,2017-11-15,,61239efef1dba3bb2d89a7a4f6e1260c13a7b12cdd9804243e04de18e272ca7a
2017-11-15,local-authority-eng:STA,"Land at Yarnfield Park, Yarnfield",http://www.staffordbc.gov.uk/live/Documents/Planning%20Policy/Brownfield%20Land%20Register/Brownfield-Land-Register-Site-Plans.pdf,,,2.85,,,2017-11-15,,61239efef1dba3bb2d89a7a4f6e1260c13a7b12cdd9804243e04de18e272ca7a
