row-number,field,issue-type,value
1,SiteplanURL,uri,http://snc-wml-01/wml_planningconstraints/
1,FirstAddedDate,date,"21/11/2017, 31/03/2017 for last buil-out data"
2,SiteplanURL,uri,\\snclive.gov.uk\AppData\DEF_FlatFiles\planning\S-2012-1285-MAF
3,SiteplanURL,uri,http://snc-wml-01/wml_planningconstraints/
3,FirstAddedDate,date,"21/11/2017, 31/03/2017 for last buil-out data"
4,SiteplanURL,uri,http://snc-wml-01/wml_planningconstraints/
4,FirstAddedDate,date,"21/11/2017, 31/03/2017 for last buil-out data"
5,SiteplanURL,uri,http://snc-wml-01/wml_planningconstraints/
6,SiteplanURL,uri,http://snc-wml-01/wml_planningconstraints/
6,FirstAddedDate,date,"21/11/2017, 31/03/2017 for last buil-out data"
7,SiteplanURL,uri,http://snc-wml-01/wml_planningconstraints/
7,FirstAddedDate,date,"21/11/2017, 31/03/2017 for last buil-out data"
8,SiteplanURL,uri,http://snc-wml-01/wml_planningconstraints/
8,FirstAddedDate,date,"21/11/2017, 31/03/2017 for last buil-out data"
9,SiteplanURL,uri,http://snc-wml-01/wml_planningconstraints/
10,SiteplanURL,uri,http://snc-wml-01/wml_planningconstraints/
10,FirstAddedDate,date,"21/11/2017, 31/03/2017 for last buil-out data"
11,SiteplanURL,uri,http://snc-wml-01/wml_planningconstraints/
11,FirstAddedDate,date,"21/11/2017, 31/03/2017 for last buil-out data"
12,SiteplanURL,uri,http://snc-wml-01/wml_planningconstraints/
12,FirstAddedDate,date,"21/11/2017, 31/03/2017 for last buil-out data"
13,SiteplanURL,uri,http://snc-wml-01/wml_planningconstraints/
14,SiteplanURL,uri,http://snc-wml-01/wml_planningconstraints/
14,FirstAddedDate,date,"21/11/2017, 31/03/2017 for last buil-out data"
15,SiteplanURL,uri,http://snc-wml-01/wml_planningconstraints/
15,FirstAddedDate,date,"21/11/2017, 31/03/2017 for last buil-out data"
16,SiteplanURL,uri,http://snc-wml-01/wml_planningconstraints/
17,SiteplanURL,uri,http://snc-wml-01/wml_planningconstraints/
18,SiteplanURL,uri,http://snc-wml-01/wml_planningconstraints/
19,SiteplanURL,uri,http://snc-wml-01/wml_planningconstraints/
20,SiteplanURL,uri,http://snc-wml-01/wml_planningconstraints/
21,SiteplanURL,uri,http://snc-wml-01/wml_planningconstraints/
22,SiteplanURL,uri,http://snc-wml-01/wml_planningconstraints/
