row-number,field,issue-type,value
1,PlanningStatus,enum,Other Commitment
1,SiteReference,missing,
1,GeoX,missing,
1,GeoY,missing,
1,Hectares,missing,
2,PlanningStatus,enum,Other Commitment
2,SiteReference,missing,
2,GeoX,missing,
2,GeoY,missing,
2,Hectares,missing,
3,SiteReference,missing,
3,GeoX,missing,
3,GeoY,missing,
3,Hectares,missing,
4,SiteReference,missing,
4,GeoX,missing,
4,GeoY,missing,
4,Hectares,missing,
5,SiteReference,missing,
5,GeoX,missing,
5,GeoY,missing,
5,Hectares,missing,
6,SiteReference,missing,
6,GeoX,missing,
6,GeoY,missing,
6,Hectares,missing,
7,SiteReference,missing,
7,GeoX,missing,
7,GeoY,missing,
7,Hectares,missing,
8,SiteReference,missing,
8,GeoX,missing,
8,GeoY,missing,
8,Hectares,missing,
9,SiteReference,missing,
9,GeoX,missing,
9,GeoY,missing,
9,Hectares,missing,
10,SiteReference,missing,
10,GeoX,missing,
10,GeoY,missing,
10,Hectares,missing,
11,SiteReference,missing,
11,GeoX,missing,
11,GeoY,missing,
11,Hectares,missing,
12,SiteReference,missing,
12,GeoX,missing,
12,GeoY,missing,
12,Hectares,missing,
13,SiteReference,missing,
13,GeoX,missing,
13,GeoY,missing,
13,Hectares,missing,
14,SiteReference,missing,
14,GeoX,missing,
14,GeoY,missing,
14,Hectares,missing,
15,SiteReference,missing,
15,GeoX,missing,
15,GeoY,missing,
15,Hectares,missing,
16,SiteReference,missing,
16,GeoX,missing,
16,GeoY,missing,
16,Hectares,missing,
17,SiteReference,missing,
17,GeoX,missing,
17,GeoY,missing,
17,Hectares,missing,
18,SiteReference,missing,
18,GeoX,missing,
18,GeoY,missing,
18,Hectares,missing,
19,SiteReference,missing,
19,GeoX,missing,
19,GeoY,missing,
19,Hectares,missing,
20,SiteReference,missing,
20,GeoX,missing,
20,GeoY,missing,
20,Hectares,missing,
21,SiteReference,missing,
21,GeoX,missing,
21,GeoY,missing,
21,Hectares,missing,
22,SiteReference,missing,
22,GeoX,missing,
22,GeoY,missing,
22,Hectares,missing,
23,SiteReference,missing,
23,GeoX,missing,
